title,abstract,doi,year,citations,source,doi_norm
Multi-scale adaptive attention-based time-variant neural networks for multi-step time series forecasting,,10.1007/s10489-023-05057-7,2023,7,Scopus,10.1007/s10489-023-05057-7
TDG4MSF: A temporal decomposition enhanced graph neural network for multivariate time series forecasting,,10.1007/s10489-023-04987-6,2023,6,Scopus,10.1007/s10489-023-04987-6
Long-term multivariate time series forecasting in data centers based on multi-factor separation evolutionary spatial–temporal graph neural networks,,10.1016/j.knosys.2023.110997,2023,7,Scopus,10.1016/j.knosys.2023.110997
Learning and integration of adaptive hybrid graph structures for multivariate time series forecasting,,10.1016/j.ins.2023.119560,2023,11,Scopus,10.1016/j.ins.2023.119560
Spatiotemporal graph neural network for multivariate multi-step ahead time-series forecasting of sea temperature,,10.1016/j.engappai.2023.106854,2023,25,Scopus,10.1016/j.engappai.2023.106854
Learning Visibility Attention Graph Representation for Time Series Forecasting,,10.1145/3583780.3615289,2023,2,Scopus,10.1145/3583780.3615289
FEAT: A general framework for feature-aware multivariate time-series representation learning,,10.1016/j.knosys.2023.110790,2023,14,Scopus,10.1016/j.knosys.2023.110790
Multi-Scale Adaptive Graph Neural Network for Multivariate Time Series Forecasting,,10.1109/tkde.2023.3268199,2023,155,Scopus,10.1109/tkde.2023.3268199
MrCAN: Multi-relations aware convolutional attention network for multivariate time series forecasting,,10.1016/j.ins.2023.119277,2023,17,Scopus,10.1016/j.ins.2023.119277
TTS-Norm: Forecasting Tensor Time Series via Multi-Way Normalization,,10.1145/3605894,2023,20,Scopus,10.1145/3605894
TSMixer: Lightweight MLP-Mixer Model for Multivariate Time Series Forecasting,,10.1145/3580305.3599533,2023,236,Scopus,10.1145/3580305.3599533
Look Ahead: Improving the Accuracy of Time-Series Forecasting by Previewing Future Time Features,,10.1145/3539618.3592013,2023,1,Scopus,10.1145/3539618.3592013
Num2vec: Pre-Training Numeric Representations for Time Series Forecasting in the Sensing System,,10.1145/3599728,2023,2,Scopus,10.1145/3599728
Spatio-Temporal Meta-Graph Learning for Traffic Forecasting,,10.1609/aaai.v37i7.25976,2023,259,Scopus,10.1609/aaai.v37i7.25976
TC-GATN: Temporal Causal Graph Attention Networks With Nonlinear Paradigm for Multivariate Time-Series Forecasting in Industrial Processes,,10.1109/tii.2022.3211330,2023,29,Scopus,10.1109/tii.2022.3211330
Multivariate long sequence time-series forecasting using dynamic graph learning,,10.1007/s12652-023-04579-9,2023,17,Scopus,10.1007/s12652-023-04579-9
Dynamic graph structure learning for multivariate time series forecasting,,10.1016/j.patcog.2023.109423,2023,91,Scopus,10.1016/j.patcog.2023.109423
Dynamic spatio-temporal graph network with adaptive propagation mechanism for multivariate time series forecasting,,10.1016/j.eswa.2022.119374,2023,52,Scopus,10.1016/j.eswa.2022.119374
Core: Transferable Long-Range Time Series Forecasting Enhanced by Covariates-Guided Representation,,10.1109/icassp49357.2023.10096231,2023,1,Scopus,10.1109/icassp49357.2023.10096231
VSNT: Adaptive Network Traffic Forecasting via VMD and Deep Learning with SCI-Block and Attention Mechanism,,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00046,2023,4,Scopus,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00046
GNN and Encoder Integrated Model for Distributed Solar and Wind Power Forecasting,,10.1109/csecs60003.2023.10428146,2023,1,Scopus,10.1109/csecs60003.2023.10428146
Knowledge Enhanced Deep Learning: Application to Pandemic Prediction,,10.1109/cic58953.2023.00016,2023,1,Scopus,10.1109/cic58953.2023.00016
The PSR-Transformer Nexus: A Deep Dive into Stock Time Series Forecasting,,10.14569/ijacsa.2023.0141292,2023,3,Scopus,10.14569/ijacsa.2023.0141292
Contrastive Learning Enhanced by Transformer Block for Time Series Forecasting,,10.1117/12.3012295,2023,0,Scopus,10.1117/12.3012295
SEED: An Effective Model for Highly-Skewed Streamflow Time Series Data Forecasting,,10.1109/bigdata59044.2023.10386959,2023,5,Scopus,10.1109/bigdata59044.2023.10386959
H2-Nets: Hyper-hodge Convolutional Neural Networks for Time-Series Forecasting,,10.1007/978-3-031-43424-2_17,2023,2,Scopus,10.1007/978-3-031-43424-2_17
Higher-Order Spatio-Temporal Neural Networks for Covid-19 Forecasting,,10.1109/icassp49357.2023.10095012,2023,2,Scopus,10.1109/icassp49357.2023.10095012
Hierarchical Joint Graph Learning and Multivariate Time Series Forecasting,,10.1109/access.2023.3325041,2023,6,Scopus,10.1109/access.2023.3325041
MAGNet: Muti-scale Attention and Evolutionary Graph Structure for Long Sequence Time-Series Forecasting,,10.1007/978-3-031-44223-0_18,2023,2,Scopus,10.1007/978-3-031-44223-0_18
SimpleTS: An Efficient and Universal Model Selection Framework for Time Series Forecasting,,10.14778/3611540.3611561,2023,24,Scopus,10.14778/3611540.3611561
Learning Gaussian Mixture Representations for Tensor Time Series Forecasting,,10.24963/ijcai.2023/231,2023,6,Scopus,10.24963/ijcai.2023/231
Graph Construction Method for GNN-Based Multivariate Time-Series Forecasting,,10.32604/cmc.2023.036830,2023,5,Scopus,10.32604/cmc.2023.036830
Correlated Time Series Self-Supervised Representation Learning via Spatiotemporal Bootstrapping,,10.1109/case56687.2023.10260640,2023,7,Scopus,10.1109/case56687.2023.10260640
Late Meta-learning Fusion Using Representation Learning for Time Series Forecasting,,10.23919/fusion52260.2023.10224217,2023,2,Scopus,10.23919/fusion52260.2023.10224217
Deep Representation Learning for Cluster-Level Time Series Forecasting †,,10.3390/engproc2022018022,2022,4,Scopus,10.3390/engproc2022018022
Memory Augmented Graph Learning Networks for Multivariate Time Series Forecasting,,10.1145/3511808.3557638,2022,6,Scopus,10.1145/3511808.3557638
Multi-channel fusion graph neural network for multivariate time series forecasting,,10.1016/j.jocs.2022.101862,2022,8,Scopus,10.1016/j.jocs.2022.101862
Pay Attention to Evolution: Time Series Forecasting with Deep Graph-Evolution Learning,,10.1109/tpami.2021.3076155,2022,50,Scopus,10.1109/tpami.2021.3076155
Multivariate Time Series Deep Spatiotemporal Forecasting with Graph Neural Network,,10.3390/app12115731,2022,30,Scopus,10.3390/app12115731
Adaptive Dual-View WaveNet for urban spatial–temporal event prediction,,10.1016/j.ins.2021.12.085,2022,48,Scopus,10.1016/j.ins.2021.12.085
W-Transformers: A Wavelet-based Transformer Framework for Univariate Time Series Forecasting,,10.1109/icmla55696.2022.00111,2022,34,Scopus,10.1109/icmla55696.2022.00111
Regularized Graph Structure Learning with Semantic Knowledge for Multi-variates Time-Series Forecasting,,10.24963/ijcai.2022/328,2022,39,Scopus,10.24963/ijcai.2022/328
MTHetGNN: A heterogeneous graph embedding framework for multivariate time series forecasting,,10.1016/j.patrec.2021.12.008,2022,49,Scopus,10.1016/j.patrec.2021.12.008
Learning knowledge-enriched company embeddings for investment management,,10.1145/3490354.3494390,2021,8,Scopus,10.1145/3490354.3494390
Dependency Learning Graph Neural Network for Multivariate Forecasting,,10.1007/978-3-030-92307-5_14,2021,1,Scopus,10.1007/978-3-030-92307-5_14
Time-series forecasting of mortality rates using deep learning,,10.1080/03461238.2020.1867232,2021,73,Scopus,10.1080/03461238.2020.1867232
