title,abstract,doi,year,citations,source
Ada-STGMAT: An adaptive spatio-temporal graph multi-attention network for intelligent time series forecasting in smart cities,,10.1016/j.eswa.2025.126428,2025,9,Scopus
LLM4TS: Aligning Pre-Trained LLMs as Data-Efficient Time-Series Forecasters,,10.1145/3719207,2025,25,Scopus
TITD: enhancing optimized temporal position encoding with time intervals and temporal decay in irregular time series forecasting,,10.1007/s10489-025-06293-9,2025,2,Scopus
Adaptive Non-Stationary Fuzzy Time Series Forecasting with Bayesian Networks,,10.3390/s25051628,2025,1,Scopus
Knowledge-enhanced data-driven modeling of wastewater treatment processes for energy consumption prediction,,10.1016/j.compchemeng.2024.108982,2025,2,Scopus
Heterogeneous Graph Transformer Auto-Encoder for multivariate time series forecasting,,10.1016/j.compeleceng.2024.109927,2025,0,Scopus
Forecasting of exchange rate time series based on event-aware transformer mode,,10.1007/s00500-025-10558-3,2025,1,Scopus
Fuzzy-Probabilistic Time Series Forecasting Combining Bayesian Network and Fuzzy Time Series Model,,10.3390/sym17020275,2025,1,Scopus
Parallel multi-scale dynamic graph neural network for multivariate time series forecasting,,10.1016/j.patcog.2024.111037,2025,10,Scopus
A Memory Guided Transformer for Time Series Forecasting,,10.14778/3705829.3705842,2025,3,Scopus
TSI: A Multi-view Representation Learning Approach for Time Series Forecasting,,10.1007/978-981-96-0348-0_21,2025,0,Scopus
Time-lagged relation graph neural network for multivariate time series forecasting,,10.1016/j.engappai.2024.109530,2025,3,Scopus
Mitigating Channel Redundancy for Multivariate Time Series Forecasting,,10.1109/ijcnn64981.2025.11228045,2025,0,Scopus
TravelNet: A Recursive Decomposition-Based Time Series Forecasting Framework for Bus Travel Time Estimation,,10.1109/ijcnn64981.2025.11228543,2025,0,Scopus
A Hybrid BERT-ELM Framework for Robust Time Series Forecasting of Solar Energy Generation in EU Renewable Power Plants,,10.37394/232016.2025.20.25,2025,0,Scopus
AdaPTS: Adapting Univariate Foundation Models to Probabilistic Multivariate Time Series Forecasting,,,2025,0,Scopus
Multi-Dimensional Series Forecasting for Multi-Node Microservices: Leveraging Specialized Embedding in LLMs,,10.1109/hpcc67675.2025.00030,2025,0,Scopus
FusionBC: Contrastive Graph and Information Bottleneck Fusion Learning for Time Series Forecasting,,10.1109/hpcc67675.2025.00040,2025,0,Scopus
FreEformer: Frequency Enhanced Transformer for Multivariate Time Series Forecasting,,10.24963/ijcai.2025/401,2025,0,Scopus
Transformer-PLM Enhanced Multimodal Time Series Forecasting via Decoupled Dual-Temporal Graph Adaptation,,10.1109/lsp.2025.3630087,2025,0,Scopus
DGraFormer: Dynamic Graph Learning Guided Multi-Scale Transformer for Multivariate Time Series Forecasting,,10.24963/ijcai.2025/391,2025,0,Scopus
Dynamic graph structure correction with nonadjacent correlations for multivariate time series forecasting,,10.1016/j.eswa.2025.129768,2025,0,Scopus
Time series forecasting of network traffic with latent domain generalization: Addressing out-of-distribution challenges,,10.1007/s10844-025-01001-y,2025,0,Scopus
Decomposing masked time series model: a self-supervised time-series forecasting framework,,10.1117/12.3068730,2025,0,Scopus
UFGTime: Mining Intertwined Dependencies in Multivariate Time Series via an Efficient Pure Graph Approach,,10.14778/3746405.3746436,2025,0,Scopus
STCA-LLM: Spatial–Temporal Cross-Attention Large Language Model for Wind Speed Forecasting,,10.1109/jiot.2025.3599836,2025,1,Scopus
MORL: A Multi-Objective Representation Learning Modeling for Time Series Forecasting,,10.1109/icsp65755.2025.11086755,2025,0,Scopus
Semi4TSF: End-to-End Semi-Supervised Contrastive Representation Learning for Time Series Forecasting,,10.1109/tii.2025.3588582,2025,1,Scopus
Shareformer: A Patch Transformer Model with Shared Attention for Multivariate Time Series Forecasting,,10.1007/978-981-96-9875-2_27,2025,0,Scopus
CRGNet: Learning Causal Relationships for Multivariate Time Series Forecasting,,10.1007/978-981-96-9818-9_15,2025,0,Scopus
A Novel Discrete Time Series Representation With De Bruijn Graphs for Enhanced Forecasting Using TimesNet,,10.1109/access.2025.3588507,2025,0,Scopus
A Graph SIR Network Based on Dynamic Graph Structures and Residual Learning for Epidemic Prediction,,10.1109/tce.2025.3587036,2025,0,Scopus
A Survey on Neural Ordinary Differential Equations,,10.1007/978-981-96-8183-9_27,2025,1,Scopus
Fourier-driven Lightweight Token Mixing Model for Efficient Time Series Forecasting,,10.1109/tai.2025.3584693,2025,1,Scopus
EGENN: An Efficient Graph-Enhanced Neural Network for Multivariate Time Series Forecasting,,10.1109/icassp49660.2025.10890196,2025,0,Scopus
GT-LSTM: Integrating High-Resolution Particulate Matter Data for Urban Air Quality Forecasting,,10.1007/978-3-031-95728-4_5,2025,0,Scopus
Two-in-One Models for Event Prediction and Time Series Forecasting. Comparison of Four Deep Learning Approaches to Simulate a Digital Patient Under Anesthesia,,10.1007/978-3-031-91398-3_28,2025,0,Scopus
A Multi-scenario Attention-based Generative Model for Personalized Blood Pressure Time Series Forecasting,,10.1109/icassp49660.2025.10889293,2025,1,Scopus
A Data-Level Augmentation Framework for Time Series Forecasting With Ambiguously Related Source Data,,10.1109/tkde.2025.3555530,2025,1,Scopus
Adaptive Graph Structure Learning Neural Rough Differential Equations for Multivariate Time Series Forecasting,,10.1109/tbdata.2025.3552334,2025,2,Scopus
Scale-Aware Neural Architecture Search for Multivariate Time Series Forecasting,,10.1145/3701038,2024,4,Scopus
VTNet: A multi-domain information fusion model for long-term multi-variate time series forecasting with application in irrigation water level,,10.1016/j.asoc.2024.112251,2024,5,Scopus
Contrastive learning enhanced by graph neural networks for Universal Multivariate Time Series Representation,,10.1016/j.is.2024.102429,2024,2,Scopus
Navigating Weight Prediction with Diet Diary,,10.1145/3664647.3680977,2024,3,Scopus
Dynamic Spatial-Temporal Embedding via Neural Conditional Random Field for Multivariate Time Series Forecasting,,10.1145/3675165,2024,0,Scopus
Breaking the Weak Semantics Bottleneck of Transformers in Time Series Forecasting,,10.3233/faia240645,2024,0,Scopus
Mining latent patterns with multi-scale decomposition for electricity demand and price forecasting using modified deep graph convolutional neural networks,,10.1016/j.segan.2024.101436,2024,10,Scopus
Recurrent ensemble random vector functional link neural network for financial time series forecasting,,10.1016/j.asoc.2024.111759,2024,35,Scopus
Root cause localization for wind turbines using physics guided multivariate graphical modeling and fault propagation analysis,,10.1016/j.knosys.2024.111838,2024,13,Scopus
DPHM-Net:de-redundant multi-period hybrid modeling network for long-term series forecasting,,10.1007/s11280-024-01281-4,2024,2,Scopus
Distillation enhanced time series forecasting network with momentum contrastive learning,,10.1016/j.ins.2024.120712,2024,6,Scopus
Toward Using Representation Learning for Cloud Resource Usage Forecasting,,10.1145/3660605.3660942,2024,0,Scopus
A hybrid forecasting system using convolutional-based extreme learning with extended elephant herd optimization for time-series prediction,,10.1007/s00500-023-09499-6,2024,4,Scopus
Dynamic multi-fusion spatio-temporal graph neural network for multivariate time series forecasting,,10.1016/j.eswa.2023.122729,2024,16,Scopus
Time-aware personalized graph convolutional network for multivariate time series forecasting,,10.1016/j.eswa.2023.122471,2024,11,Scopus
A Cross-View Hierarchical Graph Learning Hypernetwork for Skill Demand-Supply Joint Prediction,,10.1609/aaai.v38i18.29956,2024,4,Scopus
Learning from Polar Representation: An Extreme-Adaptive Model for Long-Term Time Series Forecasting,,10.1609/aaai.v38i1.27768,2024,11,Scopus
Attentive neural controlled differential equations for time-series classification and forecasting,,10.1007/s10115-023-01977-5,2024,12,Scopus
Bayesian network based probabilistic weighted high-order fuzzy time series forecasting,,10.1016/j.eswa.2023.121430,2024,19,Scopus
AMGCN: adaptive multigraph convolutional networks for traffic speed forecasting,,10.1007/s10489-024-05301-8,2024,3,Scopus
Deep joint modelling of mixed asynchronous streams - Proof of concept for data-driven simulation of a digital patient under anaesthesia,,10.1016/j.procs.2024.09.438,2024,1,Scopus
Multivariate Segment Expandable Encoder-Decoder Model for Time Series Forecasting,,10.1109/access.2024.3513256,2024,1,Scopus
A Novel Discrete Time Series Representation with De Bruijn Graphs for Enhanced Forecasting Using TimesNet (Extended Abstract),,10.1109/dsaa61799.2024.10722826,2024,2,Scopus
Long-Term Interpretable Air Quality Trend Forecasting via Directed Interval Fuzzy Cognitive Maps,,10.1109/tfuzz.2024.3482282,2024,4,Scopus
Long Sequence Multivariate Time-Series Forecasting for Industrial Processes Using SASGNN,,10.1109/tii.2024.3424214,2024,5,Scopus
FedDGCL: Federated Graph Neural Network with Dual Graph Contrast Learning for Multivariable Time Series Forecasting,,10.1007/978-981-97-5552-3_27,2024,0,Scopus
MLFGCN: short-term residential load forecasting via graph attention temporal convolution network,,10.3389/fnbot.2024.1461403,2024,5,Scopus
STGNA: Spatial-Temporal Graph Convolutional Networks with Node Level Attention for Shortwave Communications Parameters Forecasting,,10.1007/978-3-031-72344-5_14,2024,0,Scopus
ESSformer: Transformers with ESS Attention for Long-Term Series Forecasting,,10.1007/978-3-031-72347-6_15,2024,0,Scopus
Time Series Forecasting Based on Structured Decomposition and Variational Autoencoder,,10.1109/ijcnn60899.2024.10650587,2024,0,Scopus
CNN-Based Time Series Decomposition Model for Video Prediction,,10.1109/access.2024.3458460,2024,1,Scopus
Dynamic Personalized Graph Neural Ordinary Differential Equation Network for Multivariate Time Series Prediction of Chemical Processes,,10.1109/ddcls61622.2024.10606557,2024,0,Scopus
Generative Representation Learning in Recurrent Neural Networks for Causal Timeseries Forecasting,,10.1109/tai.2024.3446465,2024,2,Scopus
Learning Time-Aware Graph Structures for Spatially Correlated Time Series Forecasting,,10.1109/icde60146.2024.00338,2024,17,Scopus
TimeDRL: Disentangled Representation Learning for Multivariate Time-Series,,10.1109/icde60146.2024.00054,2024,18,Scopus
Predictive modeling of Alzheimer's disease progression: Integrating temporal clinical factors and outcomes in time series forecasting,,10.1016/j.ibmed.2024.100159,2024,4,Scopus
A Regional Short-term Load Forecasting Method Based on Adaptive Graph Construction and Kernel Size Selection,,10.1109/icps60943.2024.10563907,2024,1,Scopus
GTformer: Graph-Based Temporal-Order-Aware Transformer for Long-Term Series Forecasting,,10.1109/jiot.2024.3419768,2024,11,Scopus
Time Series Representation Learning: A Survey on Deep Learning Techniques for Time Series Forecasting,,10.1007/978-3-031-60606-9_25,2024,1,Scopus
Kernel Representation Learning with Dynamic Regime Discovery for Time Series Forecasting,,10.1007/978-981-97-2266-2_20,2024,7,Scopus
"Self-Supervised Learning for Time Series Analysis: Taxonomy, Progress, and Prospects",,10.1109/tpami.2024.3387317,2024,142,Scopus
TimeGNN: Temporal Dynamic Graph Learning for Time Series Forecasting,,10.1007/978-3-031-53468-3_8,2024,13,Scopus
Wind Power Forecasting Based on a Spatial-Temporal Graph Convolution Network with Limited Engineering Knowledge,,10.1109/tim.2024.3374321,2024,16,Scopus
Dynamic Hypergraph Structure Learning for Multivariate Time Series Forecasting,,10.1109/tbdata.2024.3362188,2024,25,Scopus
TimeTuner: Diagnosing Time Representations for Time-Series Forecasting with Counterfactual Explanations,,10.1109/tvcg.2023.3327389,2024,6,Scopus
Time-Series Forecasting Through Contrastive Learning with a Two-Dimensional Self-attention Mechanism,,10.1007/978-981-99-8082-6_12,2024,2,Scopus
Multi-scale Multi-step Dependency Graph Neural Network for Multivariate Time-Series Forecasting,,10.1007/978-981-99-8132-8_8,2024,2,Scopus
Dynamic personalized graph neural network with linear complexity for multivariate time series forecasting,,10.1016/j.engappai.2023.107291,2024,9,Scopus
Simple Contrastive Representation Learning for Time Series Forecasting,,10.1109/icassp48485.2024.10446875,2024,6,Scopus
Multi-scale adaptive attention-based time-variant neural networks for multi-step time series forecasting,,10.1007/s10489-023-05057-7,2023,7,Scopus
TDG4MSF: A temporal decomposition enhanced graph neural network for multivariate time series forecasting,,10.1007/s10489-023-04987-6,2023,6,Scopus
Long-term multivariate time series forecasting in data centers based on multi-factor separation evolutionary spatial–temporal graph neural networks,,10.1016/j.knosys.2023.110997,2023,7,Scopus
Learning and integration of adaptive hybrid graph structures for multivariate time series forecasting,,10.1016/j.ins.2023.119560,2023,11,Scopus
Spatiotemporal graph neural network for multivariate multi-step ahead time-series forecasting of sea temperature,,10.1016/j.engappai.2023.106854,2023,25,Scopus
Learning Visibility Attention Graph Representation for Time Series Forecasting,,10.1145/3583780.3615289,2023,2,Scopus
FEAT: A general framework for feature-aware multivariate time-series representation learning,,10.1016/j.knosys.2023.110790,2023,14,Scopus
Multi-Scale Adaptive Graph Neural Network for Multivariate Time Series Forecasting,,10.1109/tkde.2023.3268199,2023,155,Scopus
MrCAN: Multi-relations aware convolutional attention network for multivariate time series forecasting,,10.1016/j.ins.2023.119277,2023,17,Scopus
TTS-Norm: Forecasting Tensor Time Series via Multi-Way Normalization,,10.1145/3605894,2023,20,Scopus
TSMixer: Lightweight MLP-Mixer Model for Multivariate Time Series Forecasting,,10.1145/3580305.3599533,2023,236,Scopus
Look Ahead: Improving the Accuracy of Time-Series Forecasting by Previewing Future Time Features,,10.1145/3539618.3592013,2023,1,Scopus
Num2vec: Pre-Training Numeric Representations for Time Series Forecasting in the Sensing System,,10.1145/3599728,2023,2,Scopus
Spatio-Temporal Meta-Graph Learning for Traffic Forecasting,,10.1609/aaai.v37i7.25976,2023,259,Scopus
TC-GATN: Temporal Causal Graph Attention Networks With Nonlinear Paradigm for Multivariate Time-Series Forecasting in Industrial Processes,,10.1109/tii.2022.3211330,2023,29,Scopus
Multivariate long sequence time-series forecasting using dynamic graph learning,,10.1007/s12652-023-04579-9,2023,17,Scopus
Dynamic graph structure learning for multivariate time series forecasting,,10.1016/j.patcog.2023.109423,2023,91,Scopus
Dynamic spatio-temporal graph network with adaptive propagation mechanism for multivariate time series forecasting,,10.1016/j.eswa.2022.119374,2023,52,Scopus
Core: Transferable Long-Range Time Series Forecasting Enhanced by Covariates-Guided Representation,,10.1109/icassp49357.2023.10096231,2023,1,Scopus
VSNT: Adaptive Network Traffic Forecasting via VMD and Deep Learning with SCI-Block and Attention Mechanism,,10.1109/ispa-bdcloud-socialcom-sustaincom59178.2023.00046,2023,4,Scopus
GNN and Encoder Integrated Model for Distributed Solar and Wind Power Forecasting,,10.1109/csecs60003.2023.10428146,2023,1,Scopus
Knowledge Enhanced Deep Learning: Application to Pandemic Prediction,,10.1109/cic58953.2023.00016,2023,1,Scopus
The PSR-Transformer Nexus: A Deep Dive into Stock Time Series Forecasting,,10.14569/ijacsa.2023.0141292,2023,3,Scopus
Contrastive Learning Enhanced by Transformer Block for Time Series Forecasting,,10.1117/12.3012295,2023,0,Scopus
SEED: An Effective Model for Highly-Skewed Streamflow Time Series Data Forecasting,,10.1109/bigdata59044.2023.10386959,2023,5,Scopus
H2-Nets: Hyper-hodge Convolutional Neural Networks for Time-Series Forecasting,,10.1007/978-3-031-43424-2_17,2023,2,Scopus
Higher-Order Spatio-Temporal Neural Networks for Covid-19 Forecasting,,10.1109/icassp49357.2023.10095012,2023,2,Scopus
Hierarchical Joint Graph Learning and Multivariate Time Series Forecasting,,10.1109/access.2023.3325041,2023,6,Scopus
MAGNet: Muti-scale Attention and Evolutionary Graph Structure for Long Sequence Time-Series Forecasting,,10.1007/978-3-031-44223-0_18,2023,2,Scopus
SimpleTS: An Efficient and Universal Model Selection Framework for Time Series Forecasting,,10.14778/3611540.3611561,2023,24,Scopus
Learning Gaussian Mixture Representations for Tensor Time Series Forecasting,,10.24963/ijcai.2023/231,2023,6,Scopus
Graph Construction Method for GNN-Based Multivariate Time-Series Forecasting,,10.32604/cmc.2023.036830,2023,5,Scopus
Correlated Time Series Self-Supervised Representation Learning via Spatiotemporal Bootstrapping,,10.1109/case56687.2023.10260640,2023,7,Scopus
Late Meta-learning Fusion Using Representation Learning for Time Series Forecasting,,10.23919/fusion52260.2023.10224217,2023,2,Scopus
Deep Representation Learning for Cluster-Level Time Series Forecasting †,,10.3390/engproc2022018022,2022,4,Scopus
Memory Augmented Graph Learning Networks for Multivariate Time Series Forecasting,,10.1145/3511808.3557638,2022,6,Scopus
Multi-channel fusion graph neural network for multivariate time series forecasting,,10.1016/j.jocs.2022.101862,2022,8,Scopus
Pay Attention to Evolution: Time Series Forecasting with Deep Graph-Evolution Learning,,10.1109/tpami.2021.3076155,2022,50,Scopus
Multivariate Time Series Deep Spatiotemporal Forecasting with Graph Neural Network,,10.3390/app12115731,2022,30,Scopus
Adaptive Dual-View WaveNet for urban spatial–temporal event prediction,,10.1016/j.ins.2021.12.085,2022,48,Scopus
W-Transformers: A Wavelet-based Transformer Framework for Univariate Time Series Forecasting,,10.1109/icmla55696.2022.00111,2022,34,Scopus
Regularized Graph Structure Learning with Semantic Knowledge for Multi-variates Time-Series Forecasting,,10.24963/ijcai.2022/328,2022,39,Scopus
MTHetGNN: A heterogeneous graph embedding framework for multivariate time series forecasting,,10.1016/j.patrec.2021.12.008,2022,49,Scopus
Learning knowledge-enriched company embeddings for investment management,,10.1145/3490354.3494390,2021,8,Scopus
Dependency Learning Graph Neural Network for Multivariate Forecasting,,10.1007/978-3-030-92307-5_14,2021,1,Scopus
Time-series forecasting of mortality rates using deep learning,,10.1080/03461238.2020.1867232,2021,73,Scopus
Weighted Knowledge Graph Embedding,"Knowledge graph embedding (KGE) aims to project both entities and relations in a knowledge graph (KG) into low-dimensional vectors. Indeed, existing KGs suffer from the data imbalance issue, i.e., entities and relations conform to a long-tail distribution, only a small portion of entities and relations occur frequently, while the vast majority of entities and relations only have a few training samples. Existing KGE methods assign equal weights to each entity and relation during the training process. Under this setting, long-tail entities and relations are not fully trained during training, leading to unreliable representations. In this paper, we propose WeightE, which attends differentially to different entities and relations. Specifically, WeightE is able to endow lower weights to frequent entities and relations, and higher weights to infrequent ones. In such manner, WeightE is capable of increasing the weights of long-tail entities and relations, and learning better representations for them. In particular, WeightE tailors bilevel optimization for the KGE task, where the inner level aims to learn reliable entity and relation embeddings, and the outer level attempts to assign appropriate weights for each entity and relation. Moreover, it is worth noting that our technique of applying weights to different entities and relations is general and flexible, which can be applied to a number of existing KGE models. Finally, we extensively validate the superiority of WeightE against various state-of-the-art baselines.",10.1145/3539618.3591784,2023,,ACM
Probabilistic Hypergraph Recurrent Neural Networks for Time-series Forecasting,"Leveraging graph structures for time-series forecasting has garnered significant attention due to their effective relationship modeling between nodes and their associated time-series. However, in scenarios entities communicate in a broadcasting manner, graph models fall short of pairwise modeling. Hypergraph models address this by capturing beyond-pairwise interactions among node time-series. Nevertheless, most hypergraph models overlook the dynamics between nodes and their incident hyperedges, assuming constant node-hyperedge connections. In this paper, we introduce a novel model, Probabilistic Hypergraph Recurrent Neural Networks (PHRNN), which leverages node-hyperedge dynamics for accurate time-series forecasting. PHRNN associates each time-series with a node and models node interactions on a hypergraph, capturing beyond-pairwise interactions. Moreover, PHRNN learns a probabilistic hypergraph in which node-hyperedge relations are modeled as probabilistic distributions instead of fixed values, capturing dynamic node-hyperedge relations. PHRNN further integrates a prior knowledge KNN hypergraph as regularization when learning the probabilistic hypergraph structure. To the best of our knowledge, PHRNN is the first time-series forecasting model that incorporates hypergraph modeling and probabilistic relationship modeling. Forecasting results from extensive experiments show that PHRNN outperforms state-of-the-art graph and hypergraph baselines on real-world datasets.",10.1145/3690624.3709202,2025,,ACM
STLAformer: Segment-based Temporal Lag Attention effective for time series forecasting,"In recent years, Transformer architectures have attracted considerable attention in multivariate time series forecasting due to their powerful sequence modeling capabilities. However, existing methods primarily focus on temporal dependencies while often overlooking complex lagged relationships among variables, where the current state of a variable is mainly influenced by the historical state of other variables at certain previous time steps, indicating strong lagged correlations among them. To address this limitation, we propose STLAformer, a novel model based on a Segment-based Temporal Lag Attention (STLA) mechanism. By partitioning multivariate time series into local segments and introducing a delay-aware attention module, STLAformer effectively captures cross-variable lagged dependencies. Additionally, we design a Temporal Preservation Segmentation Embedding (TPSE) module to independently encode each segment, preserving local dynamic features, and incorporate learnable temporal encoding to enhance the model's representation of temporal structures. Experimental results demonstrate that our approach achieves significant improvements in modeling capability and forecasting accuracy over existing Transformer variants on multiple real-world multivariate time series forecasting tasks, especially exhibiting stronger generalization ability when handling complex lag dependencies.",10.1145/3759928.3759960,2025,,ACM
Domain Generalization in Time Series Forecasting,"Domain generalization aims to design models that can effectively generalize to unseen target domains by learning from observed source domains. Domain generalization poses a significant challenge for time series data, due to varying data distributions and temporal dependencies. Existing approaches to domain generalization are not designed for time series data, which often results in suboptimal or unstable performance when confronted with diverse temporal patterns and complex data characteristics. We propose a novel approach to tackle the problem of domain generalization in time series forecasting. We focus on a scenario where time series domains share certain common attributes and exhibit no abrupt distribution shifts. Our method revolves around the incorporation of a key regularization term into an existing time series forecasting model: domain discrepancy regularization. In this way, we aim to enforce consistent performance across different domains that exhibit distinct patterns. We calibrate the regularization term by investigating the performance within individual domains and propose the domain discrepancy regularization with domain difficulty awareness. We demonstrate the effectiveness of our method on multiple datasets, including synthetic and real-world time series datasets from diverse domains such as retail, transportation, and finance. Our method is compared against traditional methods, deep learning models, and domain generalization approaches to provide comprehensive insights into its performance. In these experiments, our method showcases superior performance, surpassing both the base model and competing domain generalization models across all datasets. Furthermore, our method is highly general and can be applied to various time series models.",10.1145/3643035,2024,,ACM
FinCast: A Foundation Model for Financial Time-Series Forecasting,"Financial time-series forecasting is critical for maintaining economic stability, guiding informed policymaking, and promoting sustainable investment practices. However, it remains challenging due to various underlying pattern shifts. These shifts arise primarily from three sources: temporal non-stationarity (distribution changes over time), multi-domain diversity (distinct patterns across financial domains such as stocks, commodities, and futures), and varying temporal resolutions (patterns differing across per-second, hourly, daily, or weekly indicators). While recent deep learning methods attempt to address these complexities, they frequently suffer from overfitting and typically require extensive domain-specific fine-tuning. To overcome these limitations, we introduce FinCast, the first foundation model specifically designed for financial time-series forecasting, trained on large-scale financial datasets. Remarkably, FinCast exhibits robust zero-shot performance, effectively capturing diverse patterns without domain-specific fine-tuning. Comprehensive empirical and qualitative evaluations demonstrate that FinCast surpasses existing state-of-the-art methods, highlighting its strong generalization capabilities.",10.1145/3746252.3761261,2025,,ACM
EAPformer: Entropy-Aware Patch Transformer for Multivariate Long-Term Time Series Forecasting,"Multivariate long-term time series forecasting is pivotal across numerous domains, yet precise predictions require a differentiated assessment of historical time segments due to their varying influence on future trends. Patch-based Transformer frameworks show promise for capturing local temporal patterns. However, they face limitations with static patching, which disrupts temporal continuity, fails to adapt to shifts between periodic and volatile patterns, and overlooks dynamic interactions between time segments and variables. To address these limitations, we propose Entropy-Aware Patch Transformer (EAPformer) which dynamically segments time series for differentiated assessments of historical patterns. Specifically, we overcome static patching limitations by leveraging temporal entropy to dynamically adjust patch boundaries through a two-stage policy, achieving interpretable and context-sensitive segmentation. Subsequently, we adapt EAPformer to periodic and volatile dynamics by employing entropy-aware segmentation that captures distinct temporal patterns across diverse segments. Finally, we further capture dynamic interactions across time segments and variables by introducing a multi-dimensional dependency learning architecture. Additionally, a gated fusion mechanism integrates local and global patterns, enhancing robustness. Extensive experiments on eight public benchmarks demonstrate that EAPformer outperforms state-of-the-art models, achieving superior accuracy across all metrics.",10.1145/3746252.3761055,2025,,ACM
