"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SAGoG: Similarity-Aware Graph of Graphs Neural Networks for Multivariate Time Series Classification","S. Wang; Y. Zhang; X. Lin; Y. Hu; Q. Huang; B. Yin","Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China",IEEE Transactions on Knowledge and Data Engineering,"7 Jul 2025","2025","37","8","4820","4832","Multivariate Time Series Classification (MTSC) has important research significance and practical value. Deep learning models have achieved considerable success in addressing MTSC problems. However, a key challenge faced by existing classification models is how to effectively consider the correlations between time series instances and across channels simultaneously, as well as how to capture the dynamic of these inter-channel correlations over time. Current methods often fall short in these aspects: on one hand, they fail to fully account for the combined effects of inter-instance and inter-channel correlations; on the other hand, they largely overlook the dynamic nature of how inter-channel correlations change over time. To address these issues, we propose a novel graph neural network model, called Similarity-Aware Graph of Graphs neural networks (SAGoG), for multivariate time series classification. This model can comprehensively consider the dependencies between channel-level and instance-level time series, it dynamically learns dependency features through graph structure evolution and graph pooling layers. We conduct experiments on the UEA dataset to validate the SAGoG model, and the results demonstrate its outstanding performance in multivariate time series classification tasks.","1558-2191","","10.1109/TKDE.2025.3572216","National Key R\&D Program of China(grant numbers:2021ZD0111902); National Natural Science Foundation of China(grant numbers:62472014,U21B2038); Beijing Natural Science Foundation(grant numbers:4222021); R\&D Program of Beijing Municipal Education Commission(grant numbers:KZ202210005008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11015272","Multivariate time series;graph neural network;time series classification","Time series analysis;Correlation;Graph neural networks;Feature extraction;Deep learning;Data models;Analytical models;Spatiotemporal phenomena;Large language models;Classification algorithms","","","","47","IEEE","26 May 2025","","","IEEE","IEEE Journals"
"Hierarchical Joint Graph Learning and Multivariate Time Series Forecasting","J. Kim; H. Lee; S. Yu; U. Hwang; W. Jung; K. Yoon","Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea; Department of Electronic Engineering, Hanyang University, Seoul, South Korea",IEEE Access,"30 Oct 2023","2023","11","","118386","118394","Multivariate time series is prevalent in many scientific and industrial domains. Modeling multivariate signals is challenging due to their long-range temporal dependencies and intricate interactions–both direct and indirect. To confront these complexities, we introduce a method of representing multivariate signals as nodes in a graph with edges indicating interdependency between them. Specifically, we leverage graph neural networks (GNN) and attention mechanisms to efficiently learn the underlying relationships within the time series data. Moreover, we suggest employing hierarchical signal decompositions running over the graphs to capture multiple spatial dependencies. The effectiveness of our proposed model is evaluated across various real-world benchmark datasets designed for long-term forecasting tasks. The results consistently showcase the superiority of our model, achieving an average 23% reduction in mean squared error (MSE) compared to existing models.","2169-3536","","10.1109/ACCESS.2023.3325041","National Research Foundation of Korea (NRF)(grant numbers:NRF-2021R1F1A1045390); Brain Convergence Research Program(grant numbers:NRF-2021M3E5D2A01023887); Bio and Medical Technology Development Program of NRF(grant numbers:RS-2023-00226494); Institute of Information & Communications Technology Planning & Evaluation (IITP) Grant (Artificial Intelligence Graduate School Program, Hanyang University); Korean Government [Ministry of Science and ICT (MSIT)](grant numbers:2020-0-01373); Technology Innovation Program (Development of Industrial Intelligent Technology for Manufacturing, Process, and Logistics); Ministry of Trade, Industry & Energy (MOTIE, South Korea)(grant numbers:20013726); Samsung Electronics Company Ltd.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286512","Time series analysis;long sequence time series forecast;graph neural network;structure learning;self-attention","Time series analysis;Forecasting;Predictive models;Computational modeling;Graph neural networks;Signal resolution;Complexity theory","","4","","35","CCBYNCND","16 Oct 2023","","","IEEE","IEEE Journals"
"Migration Data-based Graph Neural Network for Disease Forecasting","X. Ren; X. Zhang; C. Zhao","College of Science National, University of Defense Technology, Changsha, China; College of Science National, University of Defense Technology, Changsha, China; College of Science National, University of Defense Technology, Changsha, China",2022 8th International Conference on Big Data and Information Analytics (BigDIA),"9 Sep 2022","2022","","","278","284","Disease transmission modeling involves complex spatio-temporal patterns, considering not only the disease transmission in the temporal dimension but also the impact of population migration between different locations. We propose an Intra-locational Migration Estimation-based Graph Neural Network (IME-GNN) that is different from traditional time series forecasting. In this model, nodes represent locations, and edges represent population migration between locations. In IME-GNN, temporal module and spatial module are used to model the transmission of diseases in temporal and spatial dimensions respectively. In the absence of data on population migration within locations, IME-GNN achieves better results than the baselines by estimating population migration within locations. The model is applied to the dataset of real confirmed cases in Spain. The experimental results show that under limited data conditions, through the estimation of population migration within locations, IME-GNN can better learn the complex spatio-temporal dynamics of disease transmission.","2771-6902","978-1-6654-8796-2","10.1109/BigDIA56350.2022.9874050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9874050","disease forecasting;migration data;graph neural network;intra-locational migration estimation","COVID-19;Sociology;Estimation;Training data;Predictive models;Data models;Graph neural networks","","1","","27","IEEE","9 Sep 2022","","","IEEE","IEEE Conferences"
"Towards Expressive Spectral-Temporal Graph Neural Networks for Time Series Forecasting","M. Jin; G. Shi; Y. -F. Li; B. Xiong; T. Zhou; F. D. Salim; L. Zhao; L. Wu; Q. Wen; S. Pan","School of Information and Communication Technology, Griffith University, Southport, QLD, Australia; Department of Chemical and Biological Engineering, Faculty of Engineering, Monash University, Melbourne, VIC, Australia; Department of Data Science and AI, Monash University, Melbourne, VIC, Australia; International Max Plank Research School for Intelligent Systems, University of Stuttgart, Stuttgart, Germany; Alibaba Group, Hangzhou, China; School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, Australia; Department of Computer Science, Emory University, Atlanta, GA, USA; Anytime.AI, New York, NY, USA; Squirrel AI Learning, Bellevue, WA, USA; School of Information and Communication Technology, Griffith University, Southport, QLD, Australia",IEEE Transactions on Pattern Analysis and Machine Intelligence,"7 May 2025","2025","47","6","4926","4939","Time series forecasting has remained a focal point due to its vital applications in sectors such as energy management and transportation planning. Spectral-temporal graph neural network is a promising abstraction underlying most time series forecasting models that are based on graph neural networks (GNNs). However, more is needed to know about the underpinnings of this branch of methods. In this paper, we establish a theoretical framework that unravels the expressive power of spectral-temporal GNNs. Our results show that linear spectral-temporal GNNs are universal under mild assumptions, and their expressive power is bounded by our extended first-order Weisfeiler–Leman algorithm on discrete-time dynamic graphs. To make our findings useful in practice on valid instantiations, we discuss related constraints in detail and outline a theoretical blueprint for designing spatial and temporal modules in spectral domains. Building on these insights and to demonstrate how powerful spectral-temporal GNNs are based on our framework, we propose a simple instantiation named Temporal Graph Gegenbauer Convolution (TGGC), which significantly outperforms most existing models with only linear components and shows better model efficiency.","1939-3539","","10.1109/TPAMI.2025.3545671","Australian Research Council(grant numbers:FT210100097,DP240101547); National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10902626","Time series forecasting;graph neural networks;spatio-temporal graphs;graph signal processing;deep learning","Time series analysis;Forecasting;Graph neural networks;Electronic mail;Convolution;Polynomials;Correlation;Australia;Training;Symmetric matrices","","4","","54","IEEE","25 Feb 2025","","","IEEE","IEEE Journals"
"Hybrid Temporal-Spatial Energy Prediction in Wireless Sensor Networks using Transformer and Graph Neural Network Models","S. Depuru; P. J. Reddy; S. M. Rafi; K. Amala; A. V; K. L. Siri","Dept. of CSE, School of Computing, Mohan Babu University, Tirupati, AP, India; Dept. of CSE, Annamacharya Institute of Technology & Sciences, Tirupati, AP, India; Dept. of CA, School of Computing, Mohan Babu University, Tirupati, AP, India; Dept. of ECE, Sri Venkateswara College of Engineering, Tirupati, AP, India; Dept. of AIML, Rajalakshmi Engineering College, Chennai, India; Dept. of CA, School of Computing, Mohan Babu University, Tirupati, AP, India",2025 8th International Conference on Computing Methodologies and Communication (ICCMC),"4 Sep 2025","2025","","","114","118","Wireless Sensor Networks (WSNs) are widely used in a variety of applications, but energy efficiency is still a major concern. Accurate energy prediction can dramatically improve network lifetime and performance. This study investigates energy prediction in WSNs with transformer-based models and graph neural networks (GNNs). Our tests show that our hybrid model improves network lifespan by 15%, with a Mean Squared Error (MSE) of 0.034 and an R-squared score of 0.92. It does this better than baseline models like LSTM and standalone GNNs. The suggested method takes into account both time and space dependencies, which leads to better resource allocation and a longer network lifespan.","","979-8-3315-1211-8","10.1109/ICCMC65190.2025.11140970","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140970","Wireless Sensor Networks;Energy Prediction;Transformer Models;Graph Neural Networks;Time-Series Forecasting","Wireless sensor networks;Accuracy;Runtime;Smart cities;Computational modeling;Predictive models;Transformers;Graph neural networks;Energy efficiency;Resource management","","","","20","IEEE","4 Sep 2025","","","IEEE","IEEE Conferences"
"Causalformer: Causal Discovery-based Transformer for Multivariate Time Series Forecasting","C. Zhang; L. Zhao; Z. Yin; Z. Zhang","Department of Computer Science and Technology, Yanbian University, Yanji, China; Department of Computer Science and Technology, Yanbian University, Yanji, China; Department of Computer Science and Technology, Yanbian University, Yanji, China; Department of Computer Science and Technology, Yanbian University, Yanji, China","2023 16th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)","2 Jan 2024","2023","","","1","6","The forecasting of time series is finding increasingly widespread applications in real-world scenarios, such as medical data and electricity consumption. Recent work primarily employs the Transformer and its variant to capture broad temporal dependencies from time series. However, most approaches often overly focus on the impact of temporal relation, while neglecting the interactions among multivariate elements, and lacking the application of causal relationships. Int the paper, we introduce a Transformer variant based on causal discovery to discover and utilize causal relationships, termed the Causalformer. Our Causalformer not only captures temporal features but also learns a Granger causality graph from multivariate time series, resulting in a sparse adjacency matrix that represents the causal relationships between variables. This allows us to leverage causal relationships to estimate the degree of influence among multivariate elements, thereby further enhancing forecast accuracy. Building upon this, we configure the decoder part as multi-headed output to utilize the causal matrix for understanding how each variable is influenced by others. To accelerate the model’s learning speed, we also design the decoder as generative, allowing it to output an extended time series sequence in a single shot rather than step-by-step, significantly improving inference efficiency. We conduct experiments on three datasets. In most cases, the forecast results were significantly better than other baselines, and the accuracy of causal discovery was not significantly different from that of SOTA.","","979-8-3503-3075-5","10.1109/CISP-BMEI60920.2023.10373365","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10373365","","Time series analysis;Buildings;Predictive models;Signal processing;Transformers;Decoding;Sparse matrices","","3","","32","IEEE","2 Jan 2024","","","IEEE","IEEE Conferences"
"Unified Spatio-Temporal Graph Neural Networks: Data-Driven Modeling for Social Science","Y. Li; Y. Lin; Y. Gao; L. Khan","Department of Computer Science, The University of Texas at Dallas, Richardson, TX; Department of Computer Science, The University of Texas at Dallas, Richardson, TX; Department of Computer Science, The University of Texas at Dallas, Richardson, TX; Department of Computer Science, The University of Texas at Dallas, Richardson, TX",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","8","Time series forecasting with additional spatial de-pendencies has attracted a tremendous amount of research interest in social sciences, due to its importance in modern real-world applications. The Graph Neural Networks (GNN) is one of the most exciting deep learning techniques among these spatio-temporal modeling approaches. Most existing spatio-temporal GNN frameworks are based on a two-step modeling process. In such scenario, spatial and temporal dependencies are modeled in separate steps, which lead to problems such as complex architecture design, hard to scale, etc. Targeting the shortcomings of existing studies, we take both spatial and temporal dependencies from another perspective, and consider them as two heterogeneous types of edges in the graph. We propose a unified spatio-temporal GNN framework that captures both dependencies in a single step. More specifically, for each node in the graph, a unified neural network component is designed to simultaneously extract information from its sur-rounding neighbors (spatial) and its past records (temporal), which enables much easier dependency aggregation with faster execution. Experiment results demonstrate the superiority of the proposed framework over state-of-the-art (SOTA) baselines on various applications, including modeling smart cities and data-driven political science research.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9892911","NSF(grant numbers:DMS-1737978,DGE-2039542,OAC-1828467,OAC-1931541,DGE-1906630); ONR(grant numbers:N00014-17-1-2995,N00014-20-1-2738); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892911","spatio-temporal modeling;graph neural networks","Deep learning;Data-driven modeling;Smart cities;Social sciences;Time series analysis;Predictive models;Graph neural networks","","","","26","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Long Sequence Multivariate Time-Series Forecasting for Industrial Processes Using SASGNN","Y. Wang; X. Wang; J. Zhou; C. Yang; Y. Yang","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China",IEEE Transactions on Industrial Informatics,"7 Oct 2024","2024","20","10","12407","12417","In process industries, the processes are usually very long, which results in long residence of the material in the process. In addition, in many processes, the quality of the final product cannot be detected online, making it challenging to achieve timely and effective control. Therefore, in many processes, middle-state variables are observed and used for control. In many cases, these middle-state variables cannot be measured online. Long sequence multivariate time series forecasting (MTSF) reveals the changes in the process in advance and allows us to make timely adjustments in predictive control mode. However, many current MTSF methods do not consider the relationships between variables adequately, making it difficult to achieve satisfactory results for long sequence forecasting. To address this problem, a novel sparse attention spectral graph neural network (SASGNN) is proposed. In SASGNN, a graph structure learning module is first developed to establish relationships between different variables by combining prior knowledge with a sparse attention mechanism. Then, a long sequence forecasting module transforms the constructed graph into the spectral domain to extract the latent temporal pattern of each variable and the correlation feature between different variables. Besides, considering the temporal information loss during modeling, SASGNN uses a variant GRU to extract the long-term dependencies from the historical data. Experimental results show the superior and stable performance for long sequence forecasting using the SASGNN.","1941-0050","","10.1109/TII.2024.3424214","National Natural Science Foundation of China(grant numbers:62073342,62394340); High Performance Computing Center of Central South University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10601562","Froth flotation;graph neural network (GNN);industrial process;multivariate time-series forecasting (MTSF);sparse attention","Forecasting;Tungsten;Accuracy;Industries;Indexes;Graph neural networks;Feature extraction","","3","","30","IEEE","17 Jul 2024","","","IEEE","IEEE Journals"
"Multivariate Time Series Forecasting with Transfer Entropy Graph","Z. Duan; H. Xu; Y. Huang; J. Feng; Y. Wang","School of Big Data and Software Engineering, Chongqing University, Chongqing, China; College of Control Science and Engineering, Zhejiang University, Hangzhou, China; College of Control Science and Engineering, Zhejiang University, Hangzhou, China; College of Control Science and Engineering, Zhejiang University, Hangzhou, China; School of Big Data and Software Engineering, Chongqing University, Chongqing, China",Tsinghua Science and Technology,"21 Jul 2022","2023","28","1","141","149","Multivariate Time Series (MTS) forecasting is an essential problem in many fields. Accurate forecasting results can effectively help in making decisions. To date, many MTS forecasting methods have been proposed and widely applied. However, these methods assume that the predicted value of a single variable is affected by all other variables, ignoring the causal relationship among variables. To address the above issue, we propose a novel end-to-end deep learning model, termed graph neural network with neural Granger causality, namely CauGNN, in this paper. To characterize the causal information among variables, we introduce the neural Granger causality graph in our model. Each variable is regarded as a graph node, and each edge represents the casual relationship between variables. In addition, convolutional neural network filters with different perception scales are used for time series feature extraction, to generate the feature of each node. Finally, the graph neural network is adopted to tackle the forecasting problem of the graph structure generated by the MTS. Three benchmark datasets from the real world are used to evaluate the proposed CauGNN, and comprehensive experiments show that the proposed method achieves state-of-the-art results in the MTS forecasting task.","1007-0214","","10.26599/TST.2021.9010081","Natural Science Foundation of China(grant numbers:62002035); Natural Science Foundation of Chongqing(grant numbers:cstc2020jcyj-bshX0034); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9837007","Multivariate Time Series (MTS) forecasting;neural Granger causality graph;Transfer Entropy (TE)","Deep learning;Sensitivity;Time series analysis;Predictive models;Feature extraction;Graph neural networks;Entropy","","38","","41","","21 Jul 2022","","","TUP","TUP Journals"
"Effective Time Series Prediction Model using Transformer based Graph Neural Network","M. PJ; H. M. Alabdeli; D. Mazumder; P. S. Babu; N. N. Saranya","Department of Computer Science, Saveetha College of Liberal Arts and Sciences, Chennai, India; Department of Computers Techniques Engineering, College of Technical Engineering, Islamic University in Najaf, Najaf, Iraq; Department of Artificial Intelligence and Data Science, Nitte Meenakshi Institute of Technology, Bangalore, India; Department of Electrical Electronics Engineering, SRKR Engineering College, Bhimavaram, India; Department of Computer Applications, Saveetha Liberal Arts and Sciences, Chennai, India",2025 3rd International Conference on Data Science and Information System (ICDSIS),"10 Jul 2025","2025","","","1","5","In last few areas, time series prediction has become a crucial task in fields such as traffic management, finance and energy demand prediction, which aims at predicting the future values based on the past observations. However, the existing transformer-based model combined with Convolutional Neural Network (CNN) and attention mechanism failed to capture dynamic intervariable relationships and faced high computational costs. Hence, to overcome this limitation, a hybrid graph-based transformer namely, Transformer Graph Neural Network (TransGNN) is proposed for accurate and reliable time series predictions. Initially, the real-world traffic data is collected from the traffic dataset. After that, the collected data is preprocessed using data cleaning technique to handle missing values, outliers are removed by Inter Quartile Range (IQR) and normalization is performed using z score normalization. Furthermore, these normalized data is represented as graph, where nodes represent sensors and edges represents the spatiotemporal relationships. Then, these graph representations are fed to the TransGNN, where CNN captures the local and global patterns and GNN captures the spatial relationships. Lastly, these features are fused to perform accurate and reliable time series predictions.","","979-8-3315-4265-8","10.1109/ICDSIS65355.2025.11070842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070842","attention mechanism;dynamic intervariable relationships;inter quartile range;time series prediction;transformer graph neural network","Attention mechanisms;Time series analysis;Predictive models;Transformers;Graph neural networks;Data models;Sensors;Convolutional neural networks;Reliability;Forecasting","","","","16","IEEE","10 Jul 2025","","","IEEE","IEEE Conferences"
"Research on Commodities Constraint Optimization Based on Graph Neural Network Prediction","Z. Yang; Z. Zhihan; L. Haiying; Z. Weiyi; D. Qian; T. Mingjie","China Tobacco Si Chuan Industrial Company Ltd., Chengdu, China; Southwestern University of Finance and Economics, Chengdu, China; Zhong ke Zhidao Technology Company Ltd., Beijing, China; China Tobacco Si Chuan Industrial Company Ltd., Chengdu, China; China Tobacco Si Chuan Industrial Company Ltd., Chengdu, China; Sichuan University, Chengdu, China",IEEE Access,"29 Aug 2023","2023","11","","90131","90142","Business intelligence makes good sale prediction crucial in any commercial activity as it has a significant impact on production and supply plan. However, practical commercial data presents explicit constraints, that how to get the optimal forecasts of commodity sales under the constraints is a vital problem many researchers face. The present research proposes a prediction model which combines graph convolution neural network and node bipartite graph. Firstly, the node bipartite graph algorithm is used to merge the constraint graph and the store graph, obtaining the “store-constraint bipartite graph”. Secondly, a graph convolutional neural network integrating GRU and AR is utilized to extract temporal features (X). Finally, a fully connected network is applied to predict the optimal solution (Y) after constraint optimization. The former can effectively learn complex features of stores, meanwhile, the later combines the constraint conditions with the store, which can effectively predict the sales of goods under the constraint conditions. In terms of model performance, we compared the proposed model with the classical method such as SVR, LSTM, ARIMA. RMSE, MSE, MAE and MAPE are used for evaluation indexes, and the results show that MAPE for one month’s sales of some product from both datasets is 7.75%.","2169-3536","","10.1109/ACCESS.2023.3302923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10210412","Graph convolutional networks;constraint optimization;graph representation learning;sales prediction;business intelligence","Convolution;Predictive models;Optimization;Data models;Constraint optimization;Linear programming;Feature extraction;Graph neural networks;Convolutional neural networks;Representation learning;Business intelligence","","1","","27","CCBYNCND","7 Aug 2023","","","IEEE","IEEE Journals"
"GNN4W: Graph Neural Network for Dual Active Bridge Converter Waveform Modeling with Operational Generalization","W. Lei; F. Lin; X. Li; X. Zhang","School of Electrical Engineering, Zhejiang University, Hangzhou, China; ZJU-UIUC Institute Zhejiang University, Jiaxing, China; Department of Electrical Engineering, University of Arkansas, Fayetteville, AR, USA; School of Electrical Engineering, Zhejiang University, Hangzhou, China",2025 IEEE Energy Conversion Conference Congress and Exposition (ECCE),"3 Dec 2025","2025","","","1","4","Temporal modeling of dual active bridge (DAB) converters can not only obtain more comprehensive waveform information but also capture the transient response and dynamic characteristics of the system more accurately. However, existing data-driven temporal modeling methods are subject to many limitations in practical applications due to their high dependence on large-scale training data and insufficient out-of-domain generalization capability. To address these challenges, this paper proposes a GNN4W temporal modeling method. Different from the traditional long and short-term memory (LSTM) networks, the proposed method introduces graph neural networks to extract spatial topological features of DAB converters. Through feature fusion, these features are combined with key temporal characteristics to construct a comprehensive feature representation. Comprehensive algorithm experiment results show that with 10% of training data, the mean squared error and mean absolute error of the proposed GNN4W method are reduced by 77.80% and 50.52% compared to LSTM and exhibit good out-of-domain generalization ability. In addition, 1 kW hardware experiments further validate the feasibility of the approach.","2329-3748","979-8-3315-4130-9","10.1109/ECCE58356.2025.11260305","National Natural Science Foundation of China(grant numbers:52407225); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11260305","dual active bridge;temporal modeling;generalization;graph neural network;feature fusion;long-short time memory network","Bridges;Transient response;Time series analysis;Training data;Predictive models;Switched reluctance motors;Feature extraction;Graph neural networks;Hardware;Long short term memory","","","","10","IEEE","3 Dec 2025","","","IEEE","IEEE Conferences"
"Cross Domain Transfer Learning Techniques for Residential Energy Forecasting","R. Geetha; P. Sibi; A. Yoganathan; P. Anitha; P. Kalyanasundaram; J. K. Kanimozhi","Department of Computer Applications (MCA), K.S.R. College of Engineering, Tiruchengode, India; Department of Computer Applications (MCA), K.S.R. College of Engineering, Tiruchengode, India; Department of Computer Applications (MCA), K.S.R. College of Engineering, Tiruchengode, India; Department of Computer Applications (MCA), K.S.R. College of Engineering, Tiruchengode, India; Department of Information Technology, K.S.R. College of Engineering, Tiruchengode, India; Department of Computer Applications (MCA), K.S.R. College of Engineering, Tiruchengode, India",2025 Second International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),"29 Jul 2025","2025","","","85","88","Residential energy prediction has been accomplished by various techniques. For the improvement of residential energy forecasting in terms of accuracy and efficiency, a Graph Neural Network (GNN) model with transfer learning capacity and Temporal Fusion Transformer (TFT) model have been adopted and compared in this study. Group 1 utilizes the designed GNN model, and Group 2 utilizes the TFT model. Both models use a sample size of 20 datasets and analyze various time periods and trends in energy usage. The predictive accuracy, training time, computational complexity, and flexibility of both models are compared. With a 2.7% increase in prediction accuracy, 35% decrease in training time, 20% decrease in computational cost, and improved generalization across many residential energy datasets, the TFT model is superior to the GNN model. The results indicate that the suggested TFT model provides a more efficient and scalable residential energy forecasting method compared to the GNN model with better computing efficiency and flexibility.","","979-8-3315-0172-3","10.1109/ICC-ROBINS64345.2025.11086132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11086132","Multi-Kernel Maximum Mean Discrepancy;Cross-Domain Transfer Learning;Energy Forecasting;Graph Neural Network;Temporal Fusion Transformer;Residential Energy;Machine Learning;Deep Learning Models;Energy Consumption","Training;Accuracy;Computational modeling;Transfer learning;Predictive models;Transformers;Market research;Graph neural networks;Thin film transistors;Forecasting","","","","21","IEEE","29 Jul 2025","","","IEEE","IEEE Conferences"
"Adversarial Danger Identification on Temporally Dynamic Graphs","F. Liu; J. Tian; L. Miranda-Moreno; L. Sun","Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada; Department of Civil Engineering, McGill University, Montreal, Canada",IEEE Transactions on Neural Networks and Learning Systems,"4 Apr 2024","2024","35","4","4744","4755","Multivariate time series forecasting plays an increasingly critical role in various applications, such as power management, smart cities, finance, and healthcare. Recent advances in temporal graph neural networks (GNNs) have shown promising results in multivariate time series forecasting due to their ability to characterize high-dimensional nonlinear correlations and temporal patterns. However, the vulnerability of deep neural networks (DNNs) constitutes serious concerns about using these models to make decisions in real-world applications. Currently, how to defend multivariate forecasting models, especially temporal GNNs, is overlooked. The existing adversarial defense studies are mostly in static and single-instance classification domains, which cannot apply to forecasting due to the generalization challenge and the contradiction issue. To bridge this gap, we propose an adversarial danger identification method for temporally dynamic graphs to effectively protect GNN-based forecasting models. Our method consists of three steps: 1) a hybrid GNN-based classifier to identify dangerous times; 2) approximate linear error propagation to identify the dangerous variates based on the high-dimensional linearity of DNNs; and 3) a scatter filter controlled by the two identification processes to reform time series with reduced feature erasure. Our experiments, including four adversarial attack methods and four state-of-the-art forecasting models, demonstrate the effectiveness of the proposed method in defending forecasting models against adversarial attacks.","2162-2388","","10.1109/TNNLS.2023.3252175","Natural Sciences and Engineering Research Council (NSERC) of Canada; NSFC-FRQSC Research Program on Smart Cities and Big Data; Canada Foundation for Innovation (CFI); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10068359","Adversarial attack;filter-based defense;graph neural network (GNN);multivariate time series forecasting","Forecasting;Predictive models;Time series analysis;Perturbation methods;Graph neural networks;Correlation;Training","","6","","65","IEEE","13 Mar 2023","","","IEEE","IEEE Journals"
"Multi-Granularity Spatio-Temporal Correlation Networks for Stock Trend Prediction","J. Chen; L. Xie; W. Lin; Y. Wu; H. Xu","Department of Mathematics, School of Science, Wuhan University of Technology, Wuhan, China; Department of Mathematics, School of Science, Wuhan University of Technology, Wuhan, China; Department of Mathematics, School of Science, Wuhan University of Technology, Wuhan, China; Department of Mathematics, School of Science, Wuhan University of Technology, Wuhan, China; School of Computer Science, Guangdong University of Education, Guangzhou, China",IEEE Access,"16 May 2024","2024","12","","67219","67232","In recent years, time series forecasting has been widely used in various fields, especially in financial markets. Stock trend forecasting has become one of the most common and complex challenges faced by investors and researchers. However, much of the current research relies primarily on single-granularity stock data for forecasting, with relatively few studies on multi-granularity data and fewer studies on spatial correlation of multi-granularity data. This inherent limitation restricts the comprehensive extraction of valuable information. To address this challenge, we propose the Multi-Granularity Deep Spatio-Temporal Correlation Framework (MDSTCF). Our approach combines the strengths of a multi-granularity residual learning, gated recurrent units, and graph attention networks to extract spatio-temporal information specific to each granularity. Subsequently, predictions at each granularity are generated through the prediction layer. Finally, a soft attention mechanism is employed to assign weights to the predictions at each granularity to obtain the final result. Comprehensive experiments conducted on tow stock datasets show that the proposed forecasting model improves the F1 score by about 7.88% and 11.2%, and the cumulative relative returns are close to 80% and 40%, respectively, compared to the previously studied time series forecasting models. The results clearly indicates that fusing multi-granularity information can significantly improve the performance of time series forecasting.","2169-3536","","10.1109/ACCESS.2024.3393774","Natural Science Foundation of Guangdong Province(grant numbers:2020A1515011208); Science and Technology Program of Guangzhou(grant numbers:202102080353); Characteristic Innovation Project of Guangdong Province(grant numbers:2019KTSCX117); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10508355","Time series forecasting;multi-granularity learning;graph neural network;spatio-temporal correlation;financial markets","Time series analysis;Forecasting;Market research;Predictive models;Correlation;Data models;Granular computing;Graph neural networks;Spatial temporal resolution;Financial industry","","4","","36","CCBYNCND","25 Apr 2024","","","IEEE","IEEE Journals"
