"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Li, X.; Yue, K.; Yu, L.; Yang, P.","Li, Xinhui (60080253300); Yue, Kun (7005000759); Yu, Lixing (57195939294); Yang, Peizhong (56727091500)","60080253300; 7005000759; 57195939294; 56727091500","Structural Entropy-based Multivariate Time Series Forecasting","2025","","","","","1696","1705","0","10.1145/3746252.3761007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023150496&doi=10.1145%2F3746252.3761007&partnerID=40&md5=094aa84647833e13628b29c15490cd1e","Conference paper","Final","","Scopus","2-s2.0-105023150496"
"Wang, X.-L.; Zhu, S.-L.; Qin, L.-Y.; Han, J.; Wang, Y.-L.; Yan, F.","Wang, Xiaoli (55969142000); Zhu, Shanglin (59181183800); Qin, Liyang (57219977195); Han, Jie (56383135800); Wang, Yulong (57190180946); Yan, Feng (60041815700)","55969142000; 59181183800; 57219977195; 56383135800; 57190180946; 60041815700","TD-IVDM: A multi-scale concept drift detection method for time series forecasting tasks","2025","Neurocomputing","653","","131120","","","0","10.1016/j.neucom.2025.131120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013120972&doi=10.1016%2Fj.neucom.2025.131120&partnerID=40&md5=854e04c9517d7fd9c086ff5860bb808b","Article","Final","","Scopus","2-s2.0-105013120972"
"Zhu, P.; Li, Y.; Liu, Q.; Cheng, D.; Jiang, C.","Zhu, Peng (57223095551); Li, Yuante (59359414400); Liu, Qinyuan (56383093500); Cheng, Dawei (57191748068); Jiang, Changjun (7403665248)","57223095551; 59359414400; 56383093500; 57191748068; 7403665248","Financial Time Series Prediction With Multi-Granularity Graph Augmented Learning","2025","IEEE Transactions on Knowledge and Data Engineering","37","11","","6436","6449","1","10.1109/TKDE.2025.3607005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015668470&doi=10.1109%2FTKDE.2025.3607005&partnerID=40&md5=e188de433ed87e213157f23437b07b20","Article","Final","","Scopus","2-s2.0-105015668470"
"Yu, Y.; Yu, W.; Nie, F.; Miao, Z.; Liu, Y.; Li, X.","Yu, Yongbo (59316065300); Yu, Weizhong (57194854123); Nie, Feiping (14008099400); Miao, Zongcheng (59157652000); Liu, Ya (59964084800); Li, Xuelong (55936260100)","59316065300; 57194854123; 14008099400; 59157652000; 59964084800; 55936260100","PRformer: Pyramidal recurrent transformer for multivariate time series forecasting","2025","Neural Networks","191","","107769","","","0","10.1016/j.neunet.2025.107769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009163037&doi=10.1016%2Fj.neunet.2025.107769&partnerID=40&md5=abb1fb2ff5d0fc110326f2fb0f676c54","Article","Final","","Scopus","2-s2.0-105009163037"
"Tan, G.; Wang, Y.; Xiao, Z.; He, D.; Sa, G.","Tan, Gang (59440709700); Wang, Yueyang (56968260900); Xiao, Ziyi (59439934500); He, Dandan (59441108800); Sa, Guodong (57205416899)","59440709700; 56968260900; 59439934500; 59441108800; 57205416899","From a multi-period perspective: A periodic dynamics forecasting network for multivariate time series forecasting","2025","Pattern Recognition","167","","111760","","","1","10.1016/j.patcog.2025.111760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004734272&doi=10.1016%2Fj.patcog.2025.111760&partnerID=40&md5=854d248e457a88fe0915d0bcab791309","Article","Final","","Scopus","2-s2.0-105004734272"
"Yang, Z.; Yu, Y.; Lin, S.; Zhang, Y.","Yang, Zheng (57195319982); Yu, Yang (57188678516); Lin, Shanshan (59474245700); Zhang, Yue (59475097400)","57195319982; 57188678516; 59474245700; 59475097400","LLM-Empowered Kolmogorov-Arnold Frequency Learning for Time Series Forecasting in Power Systems","2025","Mathematics","13","19","3149","","","0","10.3390/math13193149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018957913&doi=10.3390%2Fmath13193149&partnerID=40&md5=b00fdae8a2e3b65c6c5db769de1ee0dd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018957913"
"My, L.N.T.; Nguyen, V.; Vo, T.","My, Linh Nguyen Thi (59193398500); Nguyen, Vu (59453673400); Vo, Tham (57204163635)","59193398500; 59453673400; 57204163635","Learnable decomposition meets the neuro-fuzzy learning for robust rich spatial–temporal feature representation learning and better stock price forecasting","2025","Soft Computing","29","19-20","","5571","5590","0","10.1007/s00500-025-10898-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017883212&doi=10.1007%2Fs00500-025-10898-0&partnerID=40&md5=92acca52bdb7c392df2cb2be1f659e79","Article","Final","","Scopus","2-s2.0-105017883212"
"Cheng, Y.; Bao, S.; Ke, Y.; Chen, J.; Liu, M.","Cheng, Youcai (60094313500); Bao, Shumei (57555943900); Ke, Yuhao (60094685800); Chen, Jiaxin (60094685900); Liu, Mengyang (60094957800)","60094313500; 57555943900; 60094685800; 60094685900; 60094957800","DS-SGCHN: dynamic-static synergetic graph convolutional hierarchical network for traffic forecasting","2025","Measurement Science and Technology","36","9","096205","","","0","10.1088/1361-6501/ae014b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015584259&doi=10.1088%2F1361-6501%2Fae014b&partnerID=40&md5=4bd36308a46e1b501c12917aa3605a02","Article","Final","","Scopus","2-s2.0-105015584259"
"Somvanshi, S.; Javed, S.A.; Islam, M.M.; Pandit, D.; Das, S.","Somvanshi, Shriyank (58223149200); Javed, Syed Aaqib (59382966800); Islam, Md Monzurul (59467335900); Pandit, Diwas (59467243200); Das, Subasish (55531140000)","58223149200; 59382966800; 59467335900; 59467243200; 55531140000","A Survey on Kolmogorov-Arnold Network","2025","ACM Computing Surveys","58","2","55","","","25","10.1145/3743128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020253926&doi=10.1145%2F3743128&partnerID=40&md5=f439691d5b303e386832c874eae32325","Article","Final","","Scopus","2-s2.0-105020253926"
"Huang, J.; Qin, R.","Huang, Jing (57972839300); Qin, Rui (57221697531)","57972839300; 57221697531","A novel deep graph learning-based multivariate clustering method for time series forecasting of complex chemical systems","2025","Computers and Chemical Engineering","200","","109214","","","0","10.1016/j.compchemeng.2025.109214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007005732&doi=10.1016%2Fj.compchemeng.2025.109214&partnerID=40&md5=861b8be8a50ac25a6e6c4fc7fa003cb0","Article","Final","","Scopus","2-s2.0-105007005732"
"Liang, R.; Hao, Q.; Gao, Y.; Liu, K.; Jiang, L.; Wang, P.; Yin, M.","Liang, Runchang (59462084700); Hao, Qi (59462084600); Gao, Yue (59462598700); Liu, Kunpeng (57211744484); Jiang, Lu (57212447802); Wang, Pengyang (57202061292); Yin, Minghao (7202263901)","59462084700; 59462084600; 59462598700; 57211744484; 57212447802; 57202061292; 7202263901","Imputation via Domain Adaptation: Rethinking Variable Subset Forecasting from Knowledge Transfer","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","1683","1694","0","10.1145/3711896.3737007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014587652&doi=10.1145%2F3711896.3737007&partnerID=40&md5=8cdca4ab3bf03f8e5e19202f47dc738f","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014587652"
"Yu, C.; Wang, F.; Yang, C.; Shao, Z.; Sun, T.; Qian, T.; Wei, W.; An, Z.; Xu, Y.","Yu, Chengqing (57215870430); Wang, Fei (55681809700); Yang, Chuanguang (59157786300); Shao, Zezhi (57226121258); Sun, Tao (57207178625); Qian, Tangwen (57219548373); Wei, Wei (56126506200); An, Zhulin (25960651600); Xu, Yongjun (7406453263)","57215870430; 55681809700; 59157786300; 57226121258; 57207178625; 57219548373; 56126506200; 25960651600; 7406453263","Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","3633","3644","1","10.1145/3711896.3737046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014587366&doi=10.1145%2F3711896.3737046&partnerID=40&md5=953b716517fe51bce177a1c7abfb36b5","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014587366"
"Liu, Y.; Wijewickrema, S.; Hu, D.; Bester, C.; O’Leary, S.; Bailey, J.","Liu, Yuansan (57323705900); Wijewickrema, S. N.R. (16178559900); Hu, Dongting (57982816200); Bester, Christofer W. (57193847353); O’Leary, Stephen John (57211985645); Bailey, James M. (7404350735)","57323705900; 16178559900; 57982816200; 57193847353; 57211985645; 7404350735","Stochastic Diffusion: A Diffusion Based Model for Stochastic Time Series Forecasting","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","1939","1950","2","10.1145/3711896.3737137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014422337&doi=10.1145%2F3711896.3737137&partnerID=40&md5=7d21eb4a1a9c0f2191a004caf36b2741","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014422337"
"Cheng, R.; Jia, X.; Li, Q.; Xing, R.; Huang, J.; Zheng, Y.; Xie, Z.","Cheng, Rui (56400077000); Jia, Xiangfei (60071955300); Li, Qing (57193025628); Xing, Rong (57204424728); Huang, Jiwen (57216415843); Zheng, Yu (57221067988); Xie, Zhilong (57204422231)","56400077000; 60071955300; 57193025628; 57204424728; 57216415843; 57221067988; 57204422231","FAT: Frequency-Aware Pretraining for Enhanced Time-Series Representation Learning","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","310","321","1","10.1145/3711896.3736952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014313892&doi=10.1145%2F3711896.3736952&partnerID=40&md5=988b5744e2a89916a17d91157835f7b0","Conference paper","Final","","Scopus","2-s2.0-105014313892"
"Chen, Y.; Li, C.; Zhao, X.","Chen, Yan (60072176400); Li, Cheng (57201028843); Zhao, Xiaoli (55377572800)","60072176400; 57201028843; 55377572800","TSGformer: A Unified Temporal–Spatial Graph Transformer with Adaptive Cross-Scale Modeling for Multivariate Time Series","2025","Systems","13","8","688","","","0","10.3390/systems13080688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014316135&doi=10.3390%2Fsystems13080688&partnerID=40&md5=137e3765eb03f9cbb3362eedbbb4b7a7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014316135"
"Zhu, J.; Zuo, E.; Bi, X.; Chen, C.; Chen, C.; Yan, Z.; Lv, X.","Zhu, Junyu (60019509000); Zuo, Enguang (57215771400); Bi, Xinyu (59950876200); Chen, Chen (57201197524); Chen, Cheng (57211218832); Yan, Ziwei (57212343156); Lv, Xiaoyi (36149385700)","60019509000; 57215771400; 59950876200; 57201197524; 57211218832; 57212343156; 36149385700","VCformer: Variable-Centric Multi-Scale Transformer for Multivariate Time Series Forecasting","2025","Sensors","25","16","5202","","","0","10.3390/s25165202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014285621&doi=10.3390%2Fs25165202&partnerID=40&md5=050bfccbd25a3e9ae0fdfb0a170870ad","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014285621"
"Liang, Z.; Li, W.; Wang, Z.; Zheng, X.; Pang, B.","Liang, Zhuoxuan (58881037500); Li, Wei (59760363400); Wang, Zhihong (57456875500); Zheng, Xiangping (57236021100); Pang, Bingheng (59369772900)","58881037500; 59760363400; 57456875500; 57236021100; 59369772900","SSSLN:Multivariate Time Series Forecasting via Collaborative Dynamic Graph Learning","2025","Neural Networks","188","","107485","","","0","10.1016/j.neunet.2025.107485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003931682&doi=10.1016%2Fj.neunet.2025.107485&partnerID=40&md5=ac379f183979e89cee86c9360d1f17bf","Article","Final","","Scopus","2-s2.0-105003931682"
"Barazandeh, I.; Haratizadeh, S.; Sermpinis, G.","Barazandeh, Iman (35218675100); Haratizadeh, Saman H. (6507905204); Sermpinis, Georgios S. (35099556100)","35218675100; 6507905204; 35099556100","A temporal graph-based contrastive approach for financial time series forecasting","2025","Engineering Applications of Artificial Intelligence","153","","110834","","","1","10.1016/j.engappai.2025.110834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002914754&doi=10.1016%2Fj.engappai.2025.110834&partnerID=40&md5=d8ea5329e1409a9c6069eaba2b869c72","Article","Final","","Scopus","2-s2.0-105002914754"
"Bhambu, A.; Suganthan, P.N.; Natarajan, S.","Bhambu, Aryan (58000568700); Suganthan, Ponnuthurai Nagaratnam (7003996538); Natarajan, Selvaraju (57218506164)","58000568700; 7003996538; 57218506164","Heteroscedastic ensemble deep random vector functional link neural network with multiple output layers for High Frequency Volatility Forecasting and Risk Assessment","2025","Neurocomputing","638","","130078","","","1","10.1016/j.neucom.2025.130078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001726601&doi=10.1016%2Fj.neucom.2025.130078&partnerID=40&md5=f5f875f32d5db832cff2d25edb8a1f7c","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105001726601"
"Shao, W.; Tong, G.","Shao, Wei (58852723900); Tong, Guoxiang (15761387800)","58852723900; 15761387800","A dynamic graph-based multiscale spatio-temporal feature enhancement network applied to ENSO prediction","2025","Applied Intelligence","55","11","810","","","0","10.1007/s10489-025-06691-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008507990&doi=10.1007%2Fs10489-025-06691-z&partnerID=40&md5=4135cffaa2a0855bf12cb4de15d91576","Article","Final","","Scopus","2-s2.0-105008507990"
"Yang, X.; Zhou, H.; Zhao, Z.","Yang, Xiaoxue (59918166600); Zhou, Hui (57209398145); Zhao, Zhongying (56171564000)","59918166600; 57209398145; 56171564000","Popularity-aware dynamic graph neural collaborative filtering with local-global convergence","2025","Applied Soft Computing","179","","113289","","","0","10.1016/j.asoc.2025.113289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006853242&doi=10.1016%2Fj.asoc.2025.113289&partnerID=40&md5=1fc084c7d75652382805d9a638ba8997","Article","Final","","Scopus","2-s2.0-105006853242"
"Lei, J.; Chen, F.; Tang, H.","Lei, Jierui (59343949700); Chen, Fangzheng (60013642300); Tang, Haina (9840335600)","59343949700; 60013642300; 9840335600","AGGA-MVFLN: Multivariate Time Series Forecasting via Adaptive Generalized Graph Accompanied with Multi-View Learning in Frequency Domain","2025","","","","","653","661","0","10.1145/3731715.3733272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011596805&doi=10.1145%2F3731715.3733272&partnerID=40&md5=068ce1f140c8bfab6486238a3281d5b7","Conference paper","Final","","Scopus","2-s2.0-105011596805"
"Fan, J.; Wang, P.; Liu, L.; Ma, H.","Fan, Jinxiao (58570953800); Wang, Pengfei (56729229200); Liu, Liang (56441814300); Ma, Huadong (7403096223)","58570953800; 56729229200; 56441814300; 7403096223","Self-Optimizing Teacher and Auto-Matching Student Framework for Change-Point Representation Learning in Time Series Forecasting","2025","ACM Transactions on Intelligent Systems and Technology","16","3","72","","","0","10.1145/3718091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009079459&doi=10.1145%2F3718091&partnerID=40&md5=7ffc6bd49f024f34d838858a26712863","Article","Final","","Scopus","2-s2.0-105009079459"
"Melnyk, K.; Friedman, L.; Katrychuk, D.; Komogortsev, O.","Melnyk, Kateryna (58795849200); Friedman, Lee (7403040176); Katrychuk, Dmytro (57210105027); Komogortsev, Oleg V. (6506328653)","58795849200; 7403040176; 57210105027; 6506328653","Gaze Prediction as a Function of Eye Movement Type and Individual Differences","2025","","","","7","","","0","10.1145/3715669.3723116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008491685&doi=10.1145%2F3715669.3723116&partnerID=40&md5=0d75a7797cd4df56760819579f6564a8","Conference paper","Final","","Scopus","2-s2.0-105008491685"
"Jin, C.; Chen, T.; Ni, H.; Shi, Q.","Jin, Canghong (24765860600); Chen, Tianyi (56303989200); Ni, Hao (58868018200); Shi, Qihao (57205219176)","24765860600; 56303989200; 58868018200; 57205219176","Intra and inter-series pattern representations fusion network for multiple time series forecasting","2025","Applied Soft Computing","175","","113024","","","0","10.1016/j.asoc.2025.113024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001341841&doi=10.1016%2Fj.asoc.2025.113024&partnerID=40&md5=8dc9dcbde32ce99f2ea06cb9234a7a77","Article","Final","","Scopus","2-s2.0-105001341841"
"Ye, J.; Liu, Q.; Liu, Z.; Li, W.; Zhu, T.; Sun, L.; Du, B.","Ye, Junchen (57210644346); Liu, Qian (59388348700); Liu, Zihan (57789607700); Li, Weimiao (57788752900); Zhu, Tongyu (15924707500); Sun, Leilei (55493029500); Du, Bowen (25930830100)","57210644346; 59388348700; 57789607700; 57788752900; 15924707500; 55493029500; 25930830100","Evolving graph structure learning for multivariate time series forecasting","2025","Knowledge-Based Systems","315","","113190","","","1","10.1016/j.knosys.2025.113190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219712901&doi=10.1016%2Fj.knosys.2025.113190&partnerID=40&md5=b8e96c00d70a7bfc4678b1258c0fe515","Article","Final","","Scopus","2-s2.0-85219712901"
"Berkani, S.; Bahaj, A.; Bassma, B.; Ghogho, M.","Berkani, Safaa (58309374500); Bahaj, Adil (57846331400); Bassma, Guermah (57193602888); Ghogho, Mounir (7004165717)","58309374500; 57846331400; 57193602888; 7004165717","Beyond spatial neighbors: Utilizing multivariate transfer entropy for interpretable graph-based spatio–temporal forecasting","2025","Engineering Applications of Artificial Intelligence","146","","110161","","","1","10.1016/j.engappai.2025.110161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217762635&doi=10.1016%2Fj.engappai.2025.110161&partnerID=40&md5=97978165de0d490407904a8c590b0b60","Article","Final","","Scopus","2-s2.0-85217762635"
"Xue-Bo, X.-B.; Ma, H.; Xie, J.-Y.; Kong, J.; Deveci, M.; Kadry, S.","Xue-Bo, Jin (7402589595); Ma, Huijun (57980250900); Xie, Jingyi (58699734400); Kong, Jianlei (57195225361); Deveci, Muhammet (55734383000); Kadry, Seifedine Nimer (55906598300)","7402589595; 57980250900; 58699734400; 57195225361; 55734383000; 55906598300","Ada-STGMAT: An adaptive spatio-temporal graph multi-attention network for intelligent time series forecasting in smart cities","2025","Expert Systems with Applications","269","","126428","","","9","10.1016/j.eswa.2025.126428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214556855&doi=10.1016%2Fj.eswa.2025.126428&partnerID=40&md5=f7f6d069f98637cf0249b348718087fb","Article","Final","","Scopus","2-s2.0-85214556855"
"Chang, C.; Wang, W.-Y.; Peng, W.-C.; Chen, T.-F.","Chang, Ching (58558025600); Wang, Weiyao (57219767642); Peng, Wenchih (8358716100); Chen, Tien Fu (7405539575)","58558025600; 57219767642; 8358716100; 7405539575","LLM4TS: Aligning Pre-Trained LLMs as Data-Efficient Time-Series Forecasters","2025","ACM Transactions on Intelligent Systems and Technology","16","3","60","","","25","10.1145/3719207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009122273&doi=10.1145%2F3719207&partnerID=40&md5=bc9430f45752a38413a568c69d70d37c","Article","Final","","Scopus","2-s2.0-105009122273"
"Ji, J.; Cao, Y.; Ma, Y.; Yan, J.","Ji, Jinquan (58816329100); Cao, Yu (57866142700); Ma, Yukun (56164209800); Yan, Jianzhuo (7403729298)","58816329100; 57866142700; 56164209800; 7403729298","TITD: enhancing optimized temporal position encoding with time intervals and temporal decay in irregular time series forecasting","2025","Applied Intelligence","55","6","415","","","2","10.1007/s10489-025-06293-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004658664&doi=10.1007%2Fs10489-025-06293-9&partnerID=40&md5=cd5fcee2743280fa583c40fa1b5aba16","Article","Final","","Scopus","2-s2.0-105004658664"
"Wang, B.; Liu, X.","Wang, Bo (58736699000); Liu, Xiaodong (55717309300)","58736699000; 55717309300","Adaptive Non-Stationary Fuzzy Time Series Forecasting with Bayesian Networks","2025","Sensors","25","5","1628","","","1","10.3390/s25051628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000610268&doi=10.3390%2Fs25051628&partnerID=40&md5=689f34d7917bf8faaddff867de9526b7","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-86000610268"
"Allen, L.; Cordiner, J.","Allen, Louis (57223359413); Cordiner, Joan L. (55905700700)","57223359413; 55905700700","Knowledge-enhanced data-driven modeling of wastewater treatment processes for energy consumption prediction","2025","Computers and Chemical Engineering","194","","108982","","","2","10.1016/j.compchemeng.2024.108982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212574320&doi=10.1016%2Fj.compchemeng.2024.108982&partnerID=40&md5=6673fa647e2ca7e8de1bfc5dcd64a836","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85212574320"
