"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Representation Learning and Knowledge Distillation for Lightweight Domain Adaptation","S. R. Bin Shah; S. Subhash Putty; A. Schwung","Department of Electrical Power Engineering, South Westphalia University of Applied Sciences, Soest, Germany; Department of Electrical Power Engineering, South Westphalia University of Applied Sciences, Soest, Germany; Department of Electrical Power Engineering, South Westphalia University of Applied Sciences, Soest, Germany",2024 IEEE Conference on Artificial Intelligence (CAI),"30 Jul 2024","2024","","","1202","1207","In industrial machine learning applications, insufficient data, lack of labeling, distribution shift between subsets, varying operational conditions, etc. result in poor generalizing performance by pre-trained neural network models across domains. In contrast to image detection tasks, time series dataset contain critical domain-specific characteristics that must be learned by the corresponding networks. Naively aligning the learned representations during the adaptation process increases the risk of losing these key information, thus resulting in poor performance. This paper proposes a lightweight domain adaptation method involving representation learning and knowledge distillation (RepLKD). A separate network is pre-trained to learn valuable information from the target data in its latent space with the help of a reconstructor. In the adaptation stage, we use maximum mean discrepancy to minimize the difference in distributions between the source and target latent space. Additionally, we implement knowledge distillation to encourage the target network to generate source-like latent embedding and penalize only when an upper-bound condition is not fulfilled to prevent over-regularization and loss of domain-specific features. Finally, we test our proposed method on 12 cross-domain scenarios with the C-MAPSS dataset and compare the efficacy of our method against existing literature methods.","","979-8-3503-5409-6","10.1109/CAI59869.2024.00214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10605466","Unsupervised domain adaptation;maximum mean discrepancy;knowledge distillation;representation learning;remaining useful lifetime estimation;C-MAPSS","Representation learning;Knowledge engineering;Adaptation models;Time series analysis;Neural networks;Data models;Labeling","","","","24","IEEE","30 Jul 2024","","","IEEE","IEEE Conferences"
"A Review for Pre-Trained Transformer-Based Time Series Forecasting Models","Y. E. Midilli; S. Parshutin","Information Technology Dept., Riga Technical University, Riga, Latvia; Information Technolgy Dept., Riga Technical University, Riga, Latvia",2023 IEEE 64th International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),"17 Nov 2023","2023","","","1","8","Transformer-based models have proven their superiority against recurrent networks in time series forecasting. Enhancing transformer-based forecasting models via pretraining tasks is a novel approach in the literature. In this paper, we are reviewing the most recent papers about pretraining aspects of time series as well as pretraining tasks that are used in transformer-based architectures.","2771-6937","979-8-3503-7029-4","10.1109/ITMS59786.2023.10317721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10317721","pretraining;transformer;forecasting;contrastive learning;masked auto-encoder","Training;Computational modeling;Time series analysis;Computer architecture;Predictive models;Transformers;Probabilistic logic","","","","38","IEEE","17 Nov 2023","","","IEEE","IEEE Conferences"
"Multivariate Segment Expandable Encoder-Decoder Model for Time Series Forecasting","Y. Li; D. C. Anastasiu","Computer Science and Engineering Department, Santa Clara University, Santa Clara, CA, USA; Computer Science and Engineering Department, Santa Clara University, Santa Clara, CA, USA",IEEE Access,"13 Dec 2024","2024","12","","185012","185026","Accurate time series forecasting is critical in a variety of fields, including transportation, weather prediction, energy management, infrastructure monitoring, and finance. Forecasting highly skewed and heavy-tailed time series, particularly in multivariate environments, is still difficult. In these cases, accurately capturing the relationships between variables is critical for successful model design. This is especially true when dealing with extreme events like droughts or floods in streamflow forecasting, which can have severe consequences on public safety and social well-being. We present the Multivariate Segment-Expandable Encoder Decoder (MSEED), a novel framework designed to address the challenges of extreme-adaptive multivariate time series forecasting. MSEED features a hierarchical encoder-decoder architecture, a short-term-enhanced subnet, and a feature assembling layer that integrates spatial and temporal information across multivariate inputs. By capturing quantile distributions across segmented subsequences at multiple scales, the model is able to detect complex patterns, enhancing both the accuracy and robustness of forecasts. Additionally, MSEED incorporates a simple vanilla encoder-decoder model for strengthening rolling predictions. The framework has been tested on four challenging real-world datasets, focusing on two critical forecasting scenarios: long-term predictions (three days ahead) and rolling predictions (every four hours) to simulate real-time decision-making in water resource management. MSEED consistently outperforms state-of-the-art models, showing improvements in forecasting accuracy ranging from 18% to 74%.","2169-3536","","10.1109/ACCESS.2024.3513256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10781401","Deep learning;representation learning;oversampling policy;streamflow prediction;hydrologic prediction;LSTM;time series","Time series analysis;Forecasting;Predictive models;Accuracy;Transformers;Rain;Data models;Kurtosis;Heavily-tailed distribution;Deep learning","","1","","48","CCBY","9 Dec 2024","","","IEEE","IEEE Journals"
"Improving Time-Series Classification Accuracy Based on Temporal Feature Representation Learning Using CRU-LSTM Autoencoder","D. Kim; S. Sim; B. Yoon; L. Liu; H. Bae","Dept. Industrial Engineering, Major in Industrial Data Science & Engineering, Pusan National University, Busan, South Korea; Dept. Industrial Management & Big Data Engineering, Dong-Eui University, Busan, South Korea; Dept. Industrial Management & Big Data Engineering, Dong-Eui University, Busan, South Korea; College of Computing, Georgia Institute of Technology, Georgia, USA; Dept. Industrial Engineering, Major in Industrial Data Science & Engineering, Pusan National University, Busan, South Korea",2023 IEEE 5th International Conference on Cognitive Machine Intelligence (CogMI),"19 Feb 2024","2023","","","175","183","Time-series data consists of a sequence of observations recorded in chronological order, where the data changes over time. This type of data exhibits various characteristics, such as temporal volatility, trends, and seasonality. Recently, a new layer structure called Correlation Recurrent Units (CRU) has been proposed to capture not only temporal variability but also trends and seasonality in time-series data. In this study, we propose an end-to-end model that utilizes a CRU autoencoder to learn temporal feature representations and address time-series classification problems simultaneously. To validate the performance of our proposed model, we conducted comparative experiments using 30 time-series classification datasets from six different types. The experimental results showed that the proposed model outperformed the baseline models in 20 out of the 30 time-series datasets. This indicates that the proposed approach effectively captures various temporal features in time-series data and improves the performance of time-series classification tasks.","","979-8-3503-2383-2","10.1109/CogMI58952.2023.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10431541","Time-series Classification;Time-series Data;Temporal Feature Representation Learning;Correlation Recurrent Units Autoencoder","Representation learning;Time series analysis;Feature extraction;Market research;Data models;Task analysis;Machine intelligence","","1","","29","IEEE","19 Feb 2024","","","IEEE","IEEE Conferences"
"A Deep Learning Framework for Non-stationary Time Series Prediction","L. Li; S. Huang; Z. Ouyang; N. Li","College of Computer Science and Technology, Changchun University, Changchun, China; College of Computer Science and Technology, Changchun University, Changchun, China; College of Computer Science and Technology, Changchun University, Changchun, China; College of Computer Science and Technology, Changchun University, Changchun, China","2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)","18 Jul 2022","2022","","","339","342","In non-stationary time series, there are data bursts, which brings challenges to accurately predict data. This paper proposes a deep learning framework for non-stationary time series prediction. In this framework, the first-order and second-order difference and decomposition of the original time series are first made respectively, so as to generate five new time series, which are as the input of the framework. Then, a prediction model is constructed sequentially by GRU (gated recurrent unit) and FCN (fully-connected network) networks to predict and fit data. Finally, a two-stage training mode is designed, which first predicts the trend and component, and then fits with the cycle to produce the prediction data. The experiments are tested on the public air quality dataset, and the results show that our approach can accurately predict the non-stationary time series, especially overcomes the lag, and achieves better performance than typical statistics methods and deep learning models.","","978-1-6654-5911-2","10.1109/CVIDLICCEA56201.2022.9824863","Natural Science Foundation of Jilin Province; Jilin Scientific and Technological Development Program; Innovation Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9824863","non-stationary time series;deep learning;data prediction;gated recurrent unit networks;convolutional neural networks","Deep learning;Training;Representation learning;Atmospheric modeling;Time series analysis;Neural networks;Predictive models","","11","","17","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"Attentive Neural Controlled Differential Equations for Time-series Classification and Forecasting","S. Y. Jhin; H. Shin; S. Hong; M. Jo; S. Park; N. Park; S. Lee; H. Maeng; S. Jeon","Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Socar Co. Ltd., Seoul, South Korea; Socar Co. Ltd., Seoul, South Korea; Socar Co. Ltd., Seoul, South Korea",2021 IEEE International Conference on Data Mining (ICDM),"24 Jan 2022","2021","","","250","259","Neural networks inspired by differential equations have proliferated for the past several years, of which neural ordinary differential equations (NODEs) and neural controlled differential equations (NCDEs) are two representative examples. In theory, NCDEs exhibit better representation learning capability for time-series data than NODEs. In particular, it is known that NCDEs are suitable for processing irregular time-series data. Whereas NODEs have been successfully extended to adopt attention, methods to integrate attention into NCDEs have not yet been studied. To this end, we present $\underline{\mathrm{A}}$ttentive $\underline{\mathrm{N}}$eural $\underline{\mathrm{C}}$ontrolled $\underline{\mathrm{D}}$ifferential $\underline{\mathrm{E}}$quations (ANCDEs) for time-series classification and forecasting, where dual NCDEs are used: one for generating attention values, and the other for evolving hidden vectors for a downstream machine learning task. We conduct experiments on three real-world time-series datasets and ten baselines. After dropping some values, we also conduct experiments on irregular time-series. Our method consistently shows the best accuracy in all cases by non-trivial margins. Our visualizations also show that the presented attention mechanism works as intended by focusing on crucial information.","2374-8486","978-1-6654-2398-4","10.1109/ICDM51629.2021.00035","Yonsei University; Yonsei University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9679144","time-series data;neural controlled differential equations;attention","Representation learning;Neural networks;Data visualization;Focusing;Ordinary differential equations;Mathematical models;Data models","","8","","49","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"MTAP-DK: Multivariate Time-Series Anomaly Prediction with Domain Knowledge","L. Xue; Z. Peng; J. Zhang; F. Wang; Y. Wang","Shandong University, Qingdao, China; Shandong University, Qingdao, China; Shandong University, Qingdao, China; Shandong University, Qingdao, China; Shandong University, Qingdao, China",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","8","Predicting anomalies of mobile equipment plays an important role in performing preventive maintenance, alleviating major economic losses and personal safety issues. Previous studies basically adopted data-driven models for anomaly prediction or detection of industrial equipment, ignoring the importance of domain knowledge. The domain knowledge can more accurately and theoretically capture the complex relationship among features. However, building the deep learning models incorporating domain knowledge is very difficult due to the following challenges. First, the domain knowledge is often different from the actual state of the equipment, so it is difficult to obtain knowledge information that conforms to the real situation. Second, domain knowledge is difficult to directly and effectively be applied to deep learning models due to its diverse representations. In this paper, we propose a Multivariate Time-Series Anomaly Prediction with Domain Knowledge (MTAP-DK) to address these issues. Specifically, we firstly propose a knowledge extraction module, which can extract the domain equations that conform to the actual situation with the domain knowledge and historical data. Secondly, we design a domain guidance module to guide and constrain the graph neural network from the knowledge level, to improve its capabilities to express the relationship among features. Thirdly, we predict future data based on the graph incorporating knowledge information. Finally, the prediction is reconstructed by the multi-scale convolution reconstruction method, and the abnormal information is inferred according to the reconstruction error.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9892923","National Natural Science Foundation of China(grant numbers:62072282); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892923","Anomaly Prediction;Domain Knowledge;Multivariate Time-Series Prediction","Deep learning;Biological system modeling;Time series analysis;Predictive models;Reconstruction algorithms;Feature extraction;Mathematical models","","","","26","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Characterizing Disease Spreading via Visibility Graph Embedding","K. Ni; J. Xu; S. Roach; T. -C. Lu; A. Kopylov","HRL Laboratories, Malibu, CA, USA; HRL Laboratories, Malibu, CA, USA; HRL Laboratories, Malibu, CA, USA; HRL Laboratories, Malibu, CA, USA; HRL Laboratories, Malibu, CA, USA",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","2656","2661","Gaining timely insights on real-world emergency events, such as infectious disease outbreaks, is critical for developing appropriate response strategies. In this work, we propose a data-driven approach to study the spreading dynamics of the global Covid-19 pandemic. Specifically, we aim to identify a set of most “similar” geographic regions as proxies for making predictions on a targeted location. Example predictions include the number of new cases, number of hospitalizations, and number of deaths. Such predictions can be made at different levels of regional granularities, including city, county, and state levels. Our approach starts by transforming regional time series into graph representations using the natural visibility graph (NVG) model in order to capture their intrinsic trends and properties. These graphs are then projected onto a common embedding space using graph-level network embedding techniques. Essentially, each time series is converted as a data point in a feature embedding space, where spatial proximity indicates similarity among time series. Given a targeted region, our approach can identify the most “relevant” geographic regions by finding its k-nearest neighbors in the embedding space. Subsequently, appropriate response strategies and policies (e.g., school shutdown, indoor dining restriction) can be adapted based on the success or failure experiences from relevant regions. Our approach will potentially provide valuable insights in mitigating the spreading of infectious disease.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9671810","United States Air Force; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9671810","Natural Visibility Graph;Graph Embedding;Forecast;Covid-19","COVID-19;Infectious diseases;Pandemics;Conferences;Time series analysis;Urban areas;Big Data","","","","21","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Long Sequence Multivariate Time-Series Forecasting for Industrial Processes Using SASGNN","Y. Wang; X. Wang; J. Zhou; C. Yang; Y. Yang","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China",IEEE Transactions on Industrial Informatics,"7 Oct 2024","2024","20","10","12407","12417","In process industries, the processes are usually very long, which results in long residence of the material in the process. In addition, in many processes, the quality of the final product cannot be detected online, making it challenging to achieve timely and effective control. Therefore, in many processes, middle-state variables are observed and used for control. In many cases, these middle-state variables cannot be measured online. Long sequence multivariate time series forecasting (MTSF) reveals the changes in the process in advance and allows us to make timely adjustments in predictive control mode. However, many current MTSF methods do not consider the relationships between variables adequately, making it difficult to achieve satisfactory results for long sequence forecasting. To address this problem, a novel sparse attention spectral graph neural network (SASGNN) is proposed. In SASGNN, a graph structure learning module is first developed to establish relationships between different variables by combining prior knowledge with a sparse attention mechanism. Then, a long sequence forecasting module transforms the constructed graph into the spectral domain to extract the latent temporal pattern of each variable and the correlation feature between different variables. Besides, considering the temporal information loss during modeling, SASGNN uses a variant GRU to extract the long-term dependencies from the historical data. Experimental results show the superior and stable performance for long sequence forecasting using the SASGNN.","1941-0050","","10.1109/TII.2024.3424214","National Natural Science Foundation of China(grant numbers:62073342,62394340); High Performance Computing Center of Central South University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10601562","Froth flotation;graph neural network (GNN);industrial process;multivariate time-series forecasting (MTSF);sparse attention","Forecasting;Tungsten;Accuracy;Industries;Indexes;Graph neural networks;Feature extraction","","3","","30","IEEE","17 Jul 2024","","","IEEE","IEEE Journals"
"Wind Power Forecasting Based on a Spatial–Temporal Graph Convolution Network With Limited Engineering Knowledge","L. Yang; F. Tsung; K. Wang; J. Zhou","Department of Industrial Engineering, Tsinghua University, Beijing, China; Department of Industrial Engineering and Decision Analytics, Hong Kong University of Science and Technology, Hong Kong, China; Department of Industrial Engineering and the Vanke School of Public Health, Tsinghua University, Beijing, China; Control Engineering and Protection Department, Research and Development Center, Goldwind Science & Technology Company Ltd., Beijing, China",IEEE Transactions on Instrumentation and Measurement,"22 Mar 2024","2024","73","","1","13","Wind power forecasting is critical for ensuring the reliability of wind power systems. A wind turbine consists of several subsystems, each containing various sensors that collect multivariate time series. These subsystems can naturally classify the turbines into clusters. This clustering strongly correlates variables within the same cluster, and the correlation between two clusters can be derived from engineering knowledge. In this study, we propose a hierarchical multivariate time series forecasting method based on a spatial–temporal graph convolution network (HMTGCN) to forecast wind power by leveraging engineering knowledge. The model uses a spatial–temporal graph neural network (GNN) containing a graph learning module to extract features from each time-series cluster. These features are concatenated to form graph data at the cluster level, which are subsequently processed by a graph convolution network. We evaluated the performance using simulation experiments and a real-life wind power dataset, and the results showed that the proposed method improved the prediction performance by 8.99% on average, which demonstrated the effectiveness and superiority of our approach.","1557-9662","","10.1109/TIM.2024.3374321","National Natural Science Foundation of China(grant numbers:71932006,72371271); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10462162","Engineering knowledge;graph neural network (GNN);hierarchical data;multivariate time-series forecasting;wind power forecasting","Time series analysis;Wind turbines;Forecasting;Wind power generation;Sensors;Wind forecasting;Knowledge engineering","","8","","24","IEEE","7 Mar 2024","","","IEEE","IEEE Journals"
"A Large-Scale Ensemble Learning Framework for Demand Forecasting","Y. -J. Park; D. Kim; F. Odermatt; J. Lee; K. -M. Kim","MIT, Cambridge, MA, USA; Seoul National University, Seoul, South Korea; ETH Zürich, Zürich, Switzerland; Superpetual Inc., Seoul, South Korea; NAVER CLOVA & NAVER AI Lab, Seongnam, South Korea",2022 IEEE International Conference on Data Mining (ICDM),"1 Feb 2023","2022","","","378","387","Demand forecasting is a crucial component of supply chain management for revenue optimization and inventory planning. Traditional time series forecasting methods, however, have resulted in small models with limited expressive power because they have difficulty in scaling their model size up while maintaining high accuracy. In this paper, we propose Forecasting orchestra (Forchestra), a simple but powerful ensemble framework capable of accurately predicting future demand for a diverse range of items. Forchestra consists of two parts: 1) base predictors and 2) a neural conductor. For a given time series, each base predictor outputs its respective forecast based on historical observations. On top of the base predictors, the neural conductor adaptively assigns the importance weight for each predictor by looking at the representation vector provided by a representation module. Finally, Forchestra aggregates the predictions by the weights and constructs a final prediction. In contrast to previous ensemble approaches, the neural conductor and all base predictors of Forchestra are trained in an end-to-end manner; this allows each base predictor to modify its reaction to different inputs, while supporting other predictors and constructing a final prediction jointly. We empirically show that the model size is scalable to up to 0.8 billion parameters ($\approx$400-layer LSTM). The proposed method is evaluated on our proprietary E-Commerce (100K) and the public M5(30K) datasets, and it outperforms existing forecasting models with a significant margin. In addition, we observe that our framework generalizes well to unseen data points when evaluated in a zeroshot fashion on downstream datasets. Last but not least, we present extensive qualitative and quantitative studies to analyze how the proposed model outperforms baseline models and differs from conventional ensemble approaches. The code is available at https://github.com/young-j-parld22-ICDM-Forchestra.","2374-8486","978-1-6654-5099-7","10.1109/ICDM54844.2022.00048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027662","","Analytical models;Supply chain management;Time series analysis;Demand forecasting;Predictive models;Conductors;Planning","","2","","37","IEEE","1 Feb 2023","","","IEEE","IEEE Conferences"
"CoGenT: A Unified Contrastive-Generative Framework for Time Series Classification","Z. Liu; A. Alavi; M. Li; X. Zhang","School of Computing Technologies, RMIT, Melbourne, VIC, Australia; School of Computing Technologies, RMIT, Melbourne, VIC, Australia; School of Computing Technologies, RMIT, Melbourne, VIC, Australia; Department of Computer Science at the University of North Carolina at Charlotte, NC, USA",IEEE Transactions on Artificial Intelligence,"","2025","PP","99","1","10","Self-supervised learning (SSL) for multivariate time series mainly includes two paradigms: contrastive methods that excel at distinguishing between different examples, and generative approaches that learn the overall data distributions. While effective individually, their complementary potential remains unexplored. We propose a Contrastive-Generative Time series framework (CoGenT), the first framework to unify these paradigms through joint contrastive-generative optimization. Co-GenT addresses fundamental limitations of both approaches: it overcomes contrastive learning’s sensitivity to high intra-class similarity in temporal data while reducing generative methods’ dependence on large datasets. We evaluate CoGenT on six diverse time series datasets. The results show consistent improvements, with up to 59.2& and 14.27& F1 gains over standalone SimCLR and MAE, respectively. Our analysis reveals that the CoGenT preserves high accuracy while acquiring structural reliability. These findings establish a foundation for hybrid SSL in time series analysis. Code at https://github.com/DL4mHealth/cogent/.","2691-4581","","10.1109/TAI.2025.3637168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11269359","self-supervised learning;time series;contrastive learning;masked autoencoder","Time series analysis;Contrastive learning;Artificial intelligence;Representation learning;Image reconstruction;Data models;Autoencoders;Training;Adaptation models;Accuracy","","","","","IEEE","26 Nov 2025","","","IEEE","IEEE Early Access Articles"
"CNN-Based Time Series Decomposition Model for Video Prediction","J. Lee; G. Kim","School of Software, Soongsil University, Seoul, South Korea; School of Software, Soongsil University, Seoul, South Korea",IEEE Access,"24 Sep 2024","2024","12","","131205","131216","Video prediction presents a formidable challenge, requiring effectively processing spatial and temporal information embedded in videos. While recurrent neural network (RNN) and transformer-based models have been extensively explored to address spatial changes over time, recent advancements in convolutional neural networks (CNNs) have yielded high-performance video prediction models. CNN-based models offer advantages over RNN and transformer-based models due to their ease of parallel processing and lower computational complexity, highlighting their significance in practical applications. However, existing CNN-based video prediction models typically treat the spatiotemporal channels of videos similarly to the channel axis of static images. They stack frames in temporal order to construct a spatiotemporal axis and employ standard  $1\times 1$  convolution operations. Nevertheless, this approach has its limitations. Applying  $1\times 1$  convolution directly to the spatiotemporal axis results in a mixture of temporal and spatial information, which may lead to computational inefficiencies and reduced accuracy. Additionally, this operation needs to improve in processing temporal data. This study introduces a CNN-based time series decomposition model for video prediction. The proposed model first divides the  $1\times 1$  convolution operation within the channel aggregation module to independently process the temporal and spatial dimensions. To capture evolving features, the temporal axis is segregated into trend and residual components, followed by applying a time series decomposition forecasting method. To assess the performance of the proposed technique, experiments were conducted using the moving MNIST, KTH, and KITTI-Caltech benchmark datasets. In the experiments on moving MNIST, despite a reduction of approximately 55% in the number of parameters and 37% in computational cost, the proposed method improved accuracy by up to 7% compared to the previous approach.","2169-3536","","10.1109/ACCESS.2024.3458460","Innovative Human Resource Development for Local Intellectualization program through the Institute of Information & Communications Technology Planning & Evaluation (IITP) grant funded by the Korea Government [Ministry of Science and ICT (MSIT)](grant numbers:(IITP-2024-RS-2022-00156360)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10676971","Convolutional neural networks;deep learning architecture;spatiotemporal representation learning;time series forecasting;video prediction","Predictive models;Convolutional neural networks;Spatiotemporal phenomena;Time series analysis;Forecasting;Transformers;Data models;Deep learning","","1","","51","CCBYNCND","11 Sep 2024","","","IEEE","IEEE Journals"
"TC-GATN: Temporal Causal Graph Attention Networks With Nonlinear Paradigm for Multivariate Time-Series Forecasting in Industrial Processes","J. Li; Y. Shi; H. Li; B. Yang","College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China; College of Information Science and Technology, Beijing University of Chemical Technology, Beijing, China",IEEE Transactions on Industrial Informatics,"24 May 2023","2023","19","6","7592","7601","Multivariate time-series (MTS) forecasting plays an important role in industrial process monitoring, control, and optimization. Usually, hierarchical interactive behaviors among industrial MTS have formed complex nonlinear causal characteristics, which greatly hinders the applications of the existing predictive models. It is found that graph attention networks (GATs) provide technical ideas to meet this challenge. However, the unknown directed graph and linear conversions of node information make conventional GATs less popular for the industrial fields. In this article, we propose a novel prediction model termed as temporal causal graph attention networks with nonlinear paradigms (TC-GATN) to adequately capture inherent dependencies on industrial MTS. Specifically, the graph learning algorithm concerning the Granger causality is exploited to extract potential relationships among multiple variables for guiding directional edge connections of the hierarchy. Then, parallel gated recurrent unit encoders located in the graph neighborhood space are introduced to perform the nonlinear interaction of node features, which accomplishes the adaptive transformation and transmission. The self-attention mechanism is further employed to aggregate encoder hidden states across all the stages. Finally, a temporal module is supplemented to process information from the graph layer, achieving satisfactory predictions. The feasibility and effectiveness of the TC-GATN are validated by two actual datasets from the methanol production and the chlorosilane distillation","1941-0050","","10.1109/TII.2022.3211330","China Scholarship Council(grant numbers:202006885028); National Natural Science Foundation of China(grant numbers:72201021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9907826","Gated recurrent unit (GRU);Granger causality (GC);graph attention networks (GATs);multivariate time-series (MTS) prediction","Time series analysis;Predictive models;Informatics;Forecasting;Production;Directed graphs;Biological system modeling","","31","","29","IEEE","3 Oct 2022","","","IEEE","IEEE Journals"
"Fourier-driven Lightweight Token Mixing Model for Efficient Time Series Forecasting","J. Kumari; A. Mondal; J. Mathew","Department of Computer Science and Engineering, Indian Institute of Technology Patna, India; Department of Computer Science and Engineering, Indian Institute of Technology Patna, India; Department of Computer Science and Engineering, Indian Institute of Technology Patna, India",IEEE Transactions on Artificial Intelligence,"","2025","PP","99","1","14","Time-series forecasting is crucial in a wide range of real-world applications, such as weather prediction, energy planning, and financial risk management. Although previous Transformer-based models have performed well in forecasting over long time horizons using self-attention mechanisms and stacked architectures, challenges remain in effectively learning complex temporal patterns while minimizing trainable parameters and computational costs. This paper introduces Fourier-driven Network (F-Net), a novel architecture for multivariate time series forecasting that replaces the traditional attention mechanism with Fourier-driven Representation Learning (FdRL). F-Net is extended to Efficient F-Net (EF-Net) to further enhance computational efficiency by incorporating a Latent Mapping Model (LMM). Experimental results demonstrate that F-Net outperforms state-of-the-art (SoTA) methods by an average margin of 28.18%, surpassing the conventional attention-based vanilla transformer by 27%. F-Net is exceptionally lightweight, with ~103 parameters, achieving a reduction of more than a thousand times compared to existing SoTA approaches. Adding the LMM with F-Net further enhances its efficiency, cutting inference time by an average of 72% across benchmark datasets while maintaining a similar parameter count, making it ideal for real-time applications. EF-Net also gives comparative accuracy and outperforms various SoTAs.","2691-4581","","10.1109/TAI.2025.3584693","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11060930","Deep Learning;Forecasting;Time Series","Forecasting;Time series analysis;Computational modeling;Transformers;Accuracy;Attention mechanisms;Computational efficiency;Real-time systems;Predictive models;Computer architecture","","1","","","IEEE","1 Jul 2025","","","IEEE","IEEE Early Access Articles"
"From Uniform Models To Generic Representations: Stock Return Prediction With Pre-training","J. You; T. Han; L. Shen","Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","8","The emergence of deep learning has cast new light on the century-old problem of stock return prediction. For single stock return prediction, incorporating peripheral data such as cross sectional information has become the de facto standard for target horizons denoted in hours and above. However, such approach is not directly applicable to predicting short-term stock returns due to their strong stochastic nature. Little has been reported in public domain on how to utilize the rich exogenous data in short-term scenarios effectively. We propose a representation learning solution based on a pretrain-finetune framework. To help models learn high-quality feature extractors, we further propose to use triplet loss as a novel pre-train task. We present a new sample selection criterion and three versions of triplet selection in this context: “easy sample”, “multiple samples”, and “hard sample”. Experiment results using the proposed method demonstrate significant improvement over standard approaches. We also share some insight on how to apply triplet loss effectively in the context of short-term stock return prediction. Specifically, we demonstrate that using regression labels to select triplets is more effective than using embedding similarity. The proposed training framework is model-agnostic and shows great performance improvements in various settings.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9892697","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892697","representation learning;stock return prediction;triplet loss","Training;Representation learning;Deep learning;Neural networks;Stochastic processes;Predictive models;Feature extraction","","3","","38","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
