type,id,abstract,address,articleno,author,booktitle,doi,isbn,issn,issue_date,journal,keywords,location,note,number,numpages,pages,publisher,series,title,url,volume,year
inproceedings,10.1145/3459637.3482413,"Recent studies suggest that financial networks play an essential role in asset valuation and investment decisions. Unlike road networks, financial networks are neither given nor static, posing significant challenges in learning meaningful networks and promoting their applications in price prediction. In this paper, we first apply the attention mechanism to connect the ","New York, NY, USA",,"Uddin, Ajim and Tao, Xinyuan and Yu, Dantong",Proceedings of the 30th ACM International Conference on Information \&amp; Knowledge Management,10.1145/3459637.3482413,9781450384469,,,,"asset pricing, diffusion recurrent convolution, fintech, graph attention, graph neural networks, stock price prediction","Virtual Event, Queensland, Australia",,,10,1844–1853,Association for Computing Machinery,CIKM '21,Attention Based Dynamic Graph Learning Framework for Asset Pricing,https://doi.org/10.1145/3459637.3482413,,2021
inproceedings,10.1145/3664647.3680977,"Current research in food analysis primarily concentrates on tasks such as food recognition, recipe retrieval and nutrition estimation from a single image. Nevertheless, there is a significant gap in exploring the impact of food intake on physiological indicators (e.g., weight) over time. This paper addresses this gap by introducing the DietDiary dataset, which encompasses daily dietary diaries and corresponding weight measurements of real users. Furthermore, we propose a novel task of weight prediction with a dietary diary that aims to leverage historical food intake and weight to predict future weights. To tackle this task, we propose a model-agnostic time series forecasting framework. Specifically, we introduce a Unified Meal Representation Learning (UMRL) module to extract representations for each meal. Additionally, we design a diet-aware loss function to associate food intake with weight variations. By conducting experiments on the DietDiary dataset with two state-of-the-art time series forecasting models, NLinear and iTransformer, we demonstrate that our proposed framework achieves superior performance compared to the original models. We make our dataset, code, and models publicly available at: https://yxg1005.github.io/weight-prediction.","New York, NY, USA",,"Gui, Yinxuan and Zhu, Bin and Chen, Jingjing and Ngo, Chong Wah and Jiang, Yu-Gang",Proceedings of the 32nd ACM International Conference on Multimedia,10.1145/3664647.3680977,9798400706868,,,,"food analysis, time series forecasting models, weight prediction","Melbourne VIC, Australia",,,10,127–136,Association for Computing Machinery,MM '24,Navigating Weight Prediction with Diet Diary,https://doi.org/10.1145/3664647.3680977,,2024
article,10.14778/3746405.3746436,"Graph Neural Networks (GNNs) have become a cornerstone in multivariate time series forecasting by addressing the challenge of modeling inter-series dependencies often overlooked by traditional temporal approaches. However, real-world temporal dependencies (inter- and intra-dependencies) are inherently intertwined, making it difficult to treat them as separate processes. Recent pure graph paradigms attempt to capture these dependencies holistically by transforming time series into fully connected graphs. While effective, these methods suffer from prohibitive computational complexity O((NT)2), limiting their scalability for large-scale data and long-term forecasting. To address these challenges, we propose UFGTime, a novel framework that leverages spectral signals to construct a ",,,"Li, Ruikun and Shi, Dai and Xiao, Ye and Gao, Junbin",,10.14778/3746405.3746436,,2150-8097,May 2025,Proc. VLDB Endow.,,,,9,14,3175–3188,VLDB Endowment,,UFGTime: Mining Intertwined Dependencies in Multivariate Time Series via an Efficient Pure Graph Approach,https://doi.org/10.14778/3746405.3746436,18,2025
article,10.1145/3605894,"Tensor time series (TTS) data, a generalization of one-dimensional time series on a high-dimensional space, is ubiquitous in real-world applications. Compared to modeling time series or multivariate time series, which has received much attention and achieved tremendous progress in recent years, tensor time series has been paid less effort. However, properly coping with the TTS is a much more challenging task, due to its high-dimensional and complex inner structure. In this article, we start by revealing the structure of TTS data from afn statistical view of point. Then, in line with this analysis, we perform Tensor Time Series forecasting via a proposed Multi-way Normalization (TTS-Norm), which effectively disentangles multiple heterogeneous low-dimensional substructures from the original high-dimensional structure. Finally, we design a novel objective function for TTS forecasting, accounting for the numerical heterogeneity among different low-dimensional subspaces of TTS. Extensive experiments on two real-world datasets verify the superior performance of our proposed model.1","New York, NY, USA",3,"Deng, Jiewen and Deng, Jinliang and Yin, Du and Jiang, Renhe and Song, Xuan",,10.1145/3605894,,1556-4681,January 2024,ACM Trans. Knowl. Discov. Data,"Tensor time series forecasting, representation learning, normalization, neural network",,,1,25,,Association for Computing Machinery,,TTS-Norm: Forecasting Tensor Time Series via Multi-Way Normalization,https://doi.org/10.1145/3605894,18,2023
inproceedings,10.1145/3746027.3755775,"The rapid urbanization process has significantly increased building energy consumption and carbon emissions, making reliable electricity load forecasting crucial for energy management. However, accurate load forecasting faces three key challenges: (1) complex impact of multimodal data, (2) inter-building semantical relationships, and (3) uncertainty modeling of load patterns. To address these, we propose MMLoad, a novel diffusion-based multimodal framework for multi-scenario building load forecasting with three innovations: (i) a Multimodal Data Enhancement Pipeline generating rich building descriptions using LLMs and integrating temporal factors to analyze multimodal impacts; (ii) a Cross-modal Relation Encoder discovering latent interdependencies through hierarchical fusion, projecting buildings into a unified spatio-temporal (ST) embedding space; and (iii) a Scenario-Conditioned Diffusion Generator employing transformer-based denoising with Scenario-Adaptive Normalization (SAN) for diverse trajectory generation with uncertainty quantification. Experiments show MMLoad outperforms state-of-the-art baselines in accuracy while generating plausible future scenarios, establishing a new paradigm for multimodal learning in smart energy systems.","New York, NY, USA",,"Liu, Yongzheng and Zhong, Siru and Luo, Gefeng and Ruan, Weilin and Liang, Yuxuan",Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3755775,9798400720352,,,,"diffusion model, multimodal, time series forecasting","Dublin, Ireland",,,9,2188–2196,Association for Computing Machinery,MM '25,Towards Multi-Scenario Forecasting of Building Electricity Loads with Multimodal Data,https://doi.org/10.1145/3746027.3755775,,2025
inproceedings,10.1145/3539597.3570440,"Accurate telecommunication time series forecasting is critical for smart management systems of cellular networks, and has a special challenge in predicting different types of time series simultaneously at one base station (BS), e.g., the SMS, Calls, and Internet. Unlike the well-studied single target forecasting problem for one BS, this distributed multi-target forecasting problem should take advantage of both the intra-BS dependence of different types of time series at the same BS and the inter-BS dependence of time series at different BS. To this end, we first propose a model to learn the inter-BS dependence by aggregating the multi-view dependence, e.g., from the viewpoint of SMS, Calls, and Internet. To incorporate the interBS dependence in time series forecasting, we then propose a Graph Gate LSTM (GGLSTM) model that includes a graph-based gate mechanism to unite those base stations with a strong dependence on learning a collaboratively strengthened prediction model. We also extract the intra-BS dependence by an attention network and use it in the final prediction. Our proposed approach is evaluated on two real-world datasets. Experiment results demonstrate the effectiveness of our model in predicting multiple types of telecom traffic at the distributed base stations.","New York, NY, USA",,"Gou, Xiaochuan and Zhang, Xiangliang",Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining,10.1145/3539597.3570440,9781450394079,,,,"multi-source time series forecasting, multi-task learning, telecommunication traffic forecasting","Singapore, Singapore",,,9,859–867,Association for Computing Machinery,WSDM '23,Telecommunication Traffic Forecasting via Multi-task Learning,https://doi.org/10.1145/3539597.3570440,,2023
inproceedings,10.1145/3589132.3625567,"Forecasting the number of visits to Points-of-Interest (POI) in an urban area is critical for planning and decision making in various application domains, from urban planning and transportation management to public health and social studies. Although this forecasting problem can be formulated as a multivariate time-series forecasting task, current approaches cannot fully exploit the ever-changing multi-context correlations among POIs. Therefore, we propose Busyness Graph Neural Network (BysGNN), a temporal graph neural network designed to learn and uncover the underlying multi-context correlations between POIs for accurate visit forecasting. Unlike other approaches where only time-series data is used to learn a dynamic graph, BysGNN utilizes all contextual information and time-series data to learn an accurate dynamic graph representation. By incorporating all contextual, temporal, and spatial signals, we observe a significant improvement in our forecasting accuracy over state-of-the-art forecasting models in our experiments with real-world datasets across the United States.","New York, NY, USA",22,"Hajisafi, Arash and Lin, Haowen and Shaham, Sina and Hu, Haoji and Siampou, Maria Despoina and Chiang, Yao-Yi and Shahabi, Cyrus",Proceedings of the 31st ACM International Conference on Advances in Geographic Information Systems,10.1145/3589132.3625567,9798400701689,,,,"graph neural networks, time-series forecasting, POI visiting patterns, multi-context correlations","Hamburg, Germany",,,12,,Association for Computing Machinery,SIGSPATIAL '23,Learning Dynamic Graphs from All Contextual Information for Accurate Point-of-Interest Visit Forecasting,https://doi.org/10.1145/3589132.3625567,,2023
inproceedings,10.1145/3767052.3767086,"This paper proposes a stock price prediction method based on a graph neural network architecture. The method is designed to address key characteristics of the stock market, including high nonlinearity, multivariable dependencies, and dynamically changing structural relationships. It constructs a dynamic stock graph to represent the evolving relationship network among individual stocks over time. A temporal-aware graph neural network module is designed to jointly model node features through structural propagation and temporal dependence. Specifically, the model incorporates multi-source heterogeneous information to build the dynamic graph structure. This enables explicit representation of the time-varying linkages between stocks within the graph. Graph convolution is then applied to extract structural features at each time step. A temporal module is used to model the evolution of these features over time. To validate the effectiveness of the method, the model is compared with existing graph-based and time-series models across multiple evaluation metrics. Ablation studies, robustness tests, and performance assessments under different market conditions are conducted to comprehensively analyze the model's behavior in various scenarios. Experimental results show that the proposed method achieves low prediction error while maintaining strong stability and generalization ability. It significantly improves the accuracy of modeling asset price trends in financial markets. This study provides a unified solution for structural and dynamic aspects of the stock prediction problem and extends the application scope of graph neural networks in financial time series analysis.","New York, NY, USA",,"Xu, Qingqing","Proceedings of the 2025 International Conference on Big Data, Artificial Intelligence and Digital Economy",10.1145/3767052.3767086,9798400716010,,,,"Structural modeling, graph neural networks, stock price forecasting, time series forecasting","
",,,8,219–226,Association for Computing Machinery,BDAIE '25,Capturing Structural Evolution in Financial Markets with Graph Neural Time Series Models,https://doi.org/10.1145/3767052.3767086,,2025
article,10.1145/3663760,"A Session-Based Recommendation (SBR) seeks to predict users’ future item preferences by analyzing their interactions with previously clicked items. In recent approaches, Graph Neural Networks (GNNs) have been commonly applied to capture item relations within a session to infer user intentions. However, these GNN-based methods typically struggle with feature ambiguity between the sequential session information and the item conversion within an item graph, which may impede the model’s ability to accurately infer user intentions. In this article, we propose a novel Multi-hop Multi-view Memory Transformer (M3T) to effectively integrate the sequence-view information and relation conversion (graph-view information) of items in a session. First, we propose a Multi-view Memory Transformer (M2T) module to concurrently obtain multi-view information of items. Then, a set of trainable memory matrices are employed to store sharable item features, which mitigates cross-view item feature ambiguity. To comprehensively capture latent user intentions, an M3T framework is designed to integrate user intentions across different hops of an item graph. Specifically, a k-order power method is proposed to manage the item graph to alleviate the over-smoothing problem when obtaining high-order relations of items. Extensive experiments conducted on three real-world datasets demonstrate the superiority of our method.","New York, NY, USA",144,"Zhuo, Xingrui and Qian, Shengsheng and Hu, Jun and Dai, Fuxin and Lin, Kangyi and Wu, Gongqing",,10.1145/3663760,,1046-8188,November 2024,ACM Trans. Inf. Syst.,"Session-based recommendation, multi-view intention fusion, memory Transformer, multi-hop graph embedding",,,6,28,,Association for Computing Machinery,,Multi-Hop Multi-View Memory Transformer for Session-Based Recommendation,https://doi.org/10.1145/3663760,42,2024
inproceedings,10.1145/3711896.3736962,"Climate change and rapid urbanization have led to the Urban Heat Island (UHI) effect, resulting in higher temperatures in metropolitan areas and negatively impacting urban communities. Accurate UHI forecasting is crucial for identifying high-risk periods and locations, especially in cities with vulnerable populations. Current methods are limited by data granularity and inadequate modeling of regional thermodynamics, which affects both accuracy and spatio-temporal granularity. In this paper, we propose DeepUHI, a data-driven context-aware framework for modeling local thermodynamics based on the heat equation, alongside the SeoulTemp dataset, the first multi-modal dataset for UHI effect predictions at the street level. Our framework utilizes a heat decomposition method to represent urban thermodynamics through thermodynamic cycles and thermal flows, effectively integrating urban environmental data. Extensive experiments show that our framework improves accuracy in UHI effect prediction and warning tasks, outperforming leading models. We have integrated DeepUHI into our SeoUHI platform to provide hourly street-level UHI forecasting for Seoul. The code, platform, and dataset are accessible at https://github.com/CityMind-Lab/DeepUHI.","New York, NY, USA",,"Zou, Xingchen and Ruan, Weilin and Zhong, Siru and Hu, Yuehong and Liang, Yuxuan",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3736962,9798400714542,,,,"spatio-temporal data mining, thermodynamic modeling, time series forecasting, urban computing, urban heat island effect","Toronto ON, Canada",,,12,4226–4237,Association for Computing Machinery,KDD '25,Fine-grained Urban Heat Island Effect Forecasting: A Context-aware Thermodynamic Modeling Framework,https://doi.org/10.1145/3711896.3736962,,2025
inproceedings,10.1145/3488560.3498428,"Temporal graph embedding has been widely studied thanks to its superiority in tasks such as prediction and recommendation. Despite the advances in algorithms and novel frameworks such as deep learning, there has been relatively little work on systematically studying the properties of temporal network models and their cornerstones, the graph time-series representations that are used in these approaches. This paper aims to fill this gap by introducing a general framework that extends an arbitrary existing static embedding approach to handle dynamic tasks, and conducting a systematic study of seven base static embedding methods and six temporal network models. Our framework generalizes static node embeddings derived from the time-series representation of stream data to the dynamic setting by modeling the temporal dependencies with classic models such as the reachability graph. While previous works on dynamic modeling and embedding have focused on representing a stream of timestamped edges using a time-series of graphs based on a specific time-scale (eg, 1 month), we introduce the notion of an ε-graph time-series that uses a fixed number of edges for each graph, and show its superiority in practical settings over the standard solution. From the 42 methods that our framework subsumes, we find that leveraging the new ε-graph time-series representation and capturing temporal dependencies with the proposed reachability or summary graph tend to perform well. Furthermore, the new dynamic embedding methods based on our framework perform comparably and on average better than the state-of-the-art embedding methods designed specifically for temporal graphs in link prediction tasks.","New York, NY, USA",,"Jin, Di and Kim, Sungchul and Rossi, Ryan A. and Koutra, Danai",Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,10.1145/3488560.3498428,9781450391320,,,,"dynamic networks, graph time-series, representation learning","Virtual Event, AZ, USA",,,11,410–420,Association for Computing Machinery,WSDM '22,On Generalizing Static Node Embedding to Dynamic Settings,https://doi.org/10.1145/3488560.3498428,,2022
inproceedings,10.1145/3589334.3645441,"Knowledge graphs (KGs) have been increasingly employed for link prediction and recommendation using real-world datasets. However, the majority of current methods rely on static data, neglecting the dynamic nature and the hidden spatio-temporal attributes of real-world scenarios. This often results in suboptimal predictions and recommendations. Although there are effective spatio-temporal inference methods, they face challenges such as scalability with large datasets and inadequate semantic understanding, which impede their performance. To address these limitations, this paper introduces a novel framework - Simple Spatio-Temporal Knowledge Graph (SSTKG), for constructing and exploring spatio-temporal KGs. To integrate spatial and temporal data into KGs, our framework exploited through a new 3-step embedding method. Output embeddings can be used for future temporal sequence prediction and spatial information recommendation, providing valuable insights for various applications such as retail sales forecasting and traffic volume prediction. Our framework offers a simple but comprehensive way to understand the underlying patterns and trends in dynamic KG, thereby enhancing the accuracy of predictions and the relevance of recommendations. This work paves the way for more effective utilization of spatio-temporal data in KGs, with potential impacts across a wide range of sectors.","New York, NY, USA",,"Yang, Ruiyi and Salim, Flora D. and Xue, Hao",Proceedings of the ACM Web Conference 2024,10.1145/3589334.3645441,9798400701719,,,,"knowledge graph, spatio-temporal data, time series forecasting","Singapore, Singapore",,,9,551–559,Association for Computing Machinery,WWW '24,SSTKG: Simple Spatio-Temporal Knowledge Graph for Intepretable and Versatile Dynamic Information Embedding,https://doi.org/10.1145/3589334.3645441,,2024
inproceedings,10.1145/3736425.3770109,"Long-term forecasting of multivariate urban data poses a significant challenge due to the complex spatiotemporal dependencies inherent in such datasets. This paper presents DST, a novel multivariate time-series forecasting model that integrates graph attention and temporal convolution within a Graph Neural Network (GNN) to effectively capture spatial and temporal dependencies, respectively. To enhance model performance, we apply a decomposition-based preprocessing step that isolates trend, seasonal, and residual components of the time series, enabling the learning of distinct graph structures for different time-series components. Extensive experiments on real-world urban datasets—including electricity demand, weather metrics, carbon intensity, and air pollution—demonstrate the effectiveness of DST across a range of forecast horizons, from several days to one month. Specifically, our approach achieves an average improvement of 2.89\% to 9.10\% in long-term forecasting accuracy over state-of-the-art time-series forecasting models.","New York, NY, USA",,"Sohrabbeig, Amirhossein and Ardakanian, Omid and Musilek, Petr","Proceedings of the 12th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",10.1145/3736425.3770109,9798400719455,,,,"multivariate time-series, long-term forecasting, spatio-temporal graph neural networks, time-series decomposition","Colorado School of Mines, Golden, CO, USA",,,10,161–170,Association for Computing Machinery,BuildSys '25,Long-Term Forecasting of Multivariate Urban Data via Decomposition and Spatio-Temporal Graph Analysis,https://doi.org/10.1145/3736425.3770109,,2025
inproceedings,10.1145/3501409.3501591,"Multivariate time series forecasting problems are an important part of research in various fields at all times, such as financial and stock markets, natural disasters, disease prevention. However, forecasting has always been difficult due to its own reasons or external factors. In this paper, we propose a brand-new Conv-Attention network (CANet) for harmful algal blooms prediction. To capture more spatial dimension feature information, the network extracts the context dependency from each time series, and at the same time obtains the impact score between the interacting time series. In the previous stage of training, the feature factors are acquired through different convolution kernels. Then attention mechanism is adopted to model the processes that depend on mutual influence. To further enhance the robustness of the network, the CANet incorporates simple MLP layer-assisted training. The experimental results show that our proposed network performs well under the evaluation of the performance index.","New York, NY, USA",,"Chen, Xiaoqian and Fu, Yonggang and Zhou, Honghua",Proceedings of the 2021 5th International Conference on Electronic Information Technology and Computer Engineering,10.1145/3501409.3501591,9781450384322,,,,"Multivariate time series forecasting, attention mechanism, convolution, harmful algal blooms","Xiamen, China",,,6,1018–1023,Association for Computing Machinery,EITCE '21,Conv-Attention Model Based on Multivariate Time Series Prediction: The Cyanobacteria Bloom Case,https://doi.org/10.1145/3501409.3501591,,2022
article,10.1145/3653070,"Large pre-trained models, also known as foundation models (FMs), are trained in a task-agnostic manner on large-scale data and can be adapted to a wide range of downstream tasks by fine-tuning, few-shot, or even zero-shot learning. Despite their successes in language and vision tasks, we have not yet seen an attempt to develop foundation models for geospatial artificial intelligence (GeoAI). In this work, we explore the promises and challenges of developing multimodal foundation models for GeoAI. We first investigate the potential of many existing FMs by testing their performances on seven tasks across multiple geospatial domains, including Geospatial Semantics, Health Geography, Urban Geography, and Remote Sensing. Our results indicate that on several geospatial tasks that only involve text modality, such as toponym recognition, location description recognition, and US state-level/county-level dementia time series forecasting, the task-agnostic large learning models (LLMs) can outperform task-specific fully supervised models in a zero-shot or few-shot learning setting. However, on other geospatial tasks, especially tasks that involve multiple data modalities (e.g., POI-based urban function classification, street view image–based urban noise intensity classification, and remote sensing image scene classification), existing FMs still underperform task-specific models. Based on these observations, we propose that one of the major challenges of developing an FM for GeoAI is to address the multimodal nature of geospatial tasks. After discussing the distinct challenges of each geospatial data modality, we suggest the possibility of a multimodal FM that can reason over various types of geospatial data through geospatial alignments. We conclude this article by discussing the unique risks and challenges to developing such a model for GeoAI.","New York, NY, USA",11,"Mai, Gengchen and Huang, Weiming and Sun, Jin and Song, Suhang and Mishra, Deepak and Liu, Ninghao and Gao, Song and Liu, Tianming and Cong, Gao and Hu, Yingjie and Cundy, Chris and Li, Ziyuan and Zhu, Rui and Lao, Ni",,10.1145/3653070,,2374-0353,June 2024,ACM Trans. Spatial Algorithms Syst.,"Foundation models, geospatial artificial intelligence, multimodal learning",,,2,46,,Association for Computing Machinery,,On the Opportunities and Challenges of Foundation Models for GeoAI (Vision Paper),https://doi.org/10.1145/3653070,10,2024
inproceedings,10.1145/3637528.3671657,"Multi-variate Time Series (MTS) forecasting has made large strides (with very negligible errors) through recent advancements in neural networks, e.g., Transformers. However, in critical situations like predicting gaming overindulgence that affects one's mental well-being; an accurate forecast without a contributing evidence (explanation) is irrelevant. Hence, it becomes important that the forecasts are Interpretable - intermediate representation of the forecasted trajectory is comprehensible; as well as Explainable - attentive input features and events are accessible for a personalized and timely intervention of players at risk. While the contributing state of the art research on interpretability primarily focuses on temporally-smooth single-process driven time series data, our online multi-player gameplay data demonstrates intractable temporal randomness due to intrinsic orthogonality between player's game outcome and their intent to engage further. We introduce a novel deep Actionable Forecasting Network (AFN), which addresses the inter-dependent challenges associated with three exclusive objectives - 1) forecasting accuracy; 2) smooth comprehensible trajectory and 3) explanations via multi-dimensional input features while tackling the challenges introduced by our non-smooth temporal data, together in one single solution. AFN establishes a new benchmark via: (i) achieving 25\% improvement on the MSE of the forecasts on player data in comparison to the SOM-VAE based SOTA networks; (ii) attributing unfavourable progression of a player's time series to a specific future time step(s), with the premise of eliminating near-future overindulgent player volume by over 18\% with player specific actionable inputs feature(s) and (iii) proactively detecting over 23\% (100\% jump from SOTA) of the to-be overindulgent, players on an average, 4 weeks in advance.","New York, NY, USA",,"Jagirdar, Hussain and Talwadker, Rukma and Pareek, Aditya and Agrawal, Pulkit and Mukherjee, Tridib",Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3671657,9798400704901,,,,"explainable ai, gaming, interpretability, multivariate time series forecasting, responsible ai","Barcelona, Spain",,,12,5126–5137,Association for Computing Machinery,KDD '24,Explainable and Interpretable Forecasts on Non-Smooth Multivariate Time Series for Responsible Gameplay,https://doi.org/10.1145/3637528.3671657,,2024
inproceedings,10.1145/3573428.3573753,"With the aggravation of global warming, drought has caused more and more serious impact on society and national economy, so the accurate prediction of drought is also the most important thing to deal with the frequent drought problem. On the other hand, artificial intelligence technology has shown its advantages in various fields and has a broad application prospects, so it is gradually being used in drought prediction. In this paper, drought prediction algorithms in recent years are reviewed, and existing cases of drought prediction using different arithmetic models for different drought indices are studied. The advantages and disadvantages of different algorithms are compared, the challenges of drought prediction are summarized, and the future of drought prediction is prospected.","New York, NY, USA",,"Liu, Mengxi and Zai, Guangjun and Wang, Guofu and Shi, Weiwei and Zhang, Guanqun",Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,10.1145/3573428.3573753,9781450397148,,,,"Drought forecasting, Machine learning, Time series forecasting","Xiamen, China",,,6,1845–1850,Association for Computing Machinery,EITCE '22,Research on the application of artificial intelligence algorithms in drought prediction,https://doi.org/10.1145/3573428.3573753,,2023
article,10.1145/3532611,"Traffic prediction is the cornerstone of intelligent transportation system. Accurate traffic forecasting is essential for the applications of smart cities, i.e., intelligent traffic management and urban planning. Although various methods are proposed for spatio-temporal modeling, they ignore the dynamic characteristics of correlations among locations on road network. Meanwhile, most Recurrent Neural Network based works are not efficient enough due to their recurrent operations. Additionally, there is a severe lack of fair comparison among different methods on the same datasets. To address the above challenges, in this article, we propose a novel traffic prediction framework, named Dynamic Graph Convolutional Recurrent Network (DGCRN). In DGCRN, hyper-networks are designed to leverage and extract dynamic characteristics from node attributes, while the parameters of dynamic filters are generated at each time step. We filter the node embeddings and then use them to generate dynamic graph, which is integrated with pre-defined static graph. As far as we know, we are first to employ a generation method to model fine topology of dynamic graph at each time step. Furthermore, to enhance efficiency and performance, we employ a training strategy for DGCRN by restricting the iteration number of decoder during forward and backward propagation. Finally, a reproducible standardized benchmark and a brand new representative traffic dataset are opened for fair comparison and further research. Extensive experiments on three datasets demonstrate that our model outperforms 15 baselines consistently. Source codes are available at .","New York, NY, USA",9,"Li, Fuxian and Feng, Jie and Yan, Huan and Jin, Guangyin and Yang, Fan and Sun, Funing and Jin, Depeng and Li, Yong",,10.1145/3532611,,1556-4681,January 2023,ACM Trans. Knowl. Discov. Data,"Traffic prediction, dynamic graph construction, traffic benchmark",,,1,21,,Association for Computing Machinery,,Dynamic Graph Convolutional Recurrent Network for Traffic Prediction: Benchmark and Solution,https://doi.org/10.1145/3532611,17,2023
inproceedings,10.1145/3711896.3737007,"Multivariate time series forecasting in practical deployment faces a critical challenge termed Variable Subset Forecasting (VSF), where certain variables accessible during training are entirely missing during inference. This creates a stark discrepancy between the training (source domain with full variables) and inference (target domain with partial variables) environments, disrupting cross-variable dependencies and fragmenting global temporal patterns. Existing imputation methods, limited to transferring local knowledge (e.g., temporal neighbors or pairwise correlations), fail to capture essential global dynamics, leading to severe performance degradation under distribution shifts. To address these challenges, we redefine VSF as a cross-domain knowledge transfer problem and propose VIDA, a framework that systematically transfers Variable Invariant knowledge from complete to partial observations through Domain Adaptation. Key to our approach is (1) Global time-frequency joint representation learning, which encodes temporal dynamics via dilated convolutions and captures low-frequency spectral consistency using Fourier neural operators, and (2) Sinkhorn-regularized distribution alignment to bridge non-overlapping feature supports across domains via optimal transport. Unlike imputation-first methods, VIDA enforces task-driven consistency by jointly optimizing predictions on reconstructed and original data, ensuring the transferred knowledge directly enhances forecasting robustness. Extensive experiments across four real-world datasets show that VIDA outperforms state-of-the-art imputation methods by 25\% on average with partially observed variables. This work establishes a new paradigm for variable-missing scenarios by unifying imputation and forecasting through principled knowledge transfer.","New York, NY, USA",,"Liang, Runchang and Hao, Qi and Gao, Yue and Liu, Kunpeng and Jiang, Lu and Wang, Pengyang and Yin, Minghao",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737007,9798400714542,,,,"domain adaptation, knowledge transfer, variable subset forecasting","Toronto ON, Canada",,,12,1683–1694,Association for Computing Machinery,KDD '25,Imputation via Domain Adaptation: Rethinking Variable Subset Forecasting from Knowledge Transfer,https://doi.org/10.1145/3711896.3737007,,2025
inproceedings,10.1145/3711896.3737248,"The LifeTime Value (LTV) prediction, which endeavors to forecast the cumulative purchase contribution of a user to a particular item, remains a vital challenge that advertisers are keen to resolve. A precise LTV prediction system enhances the alignment of user interests with meticulously designed advertisements, thereby generating substantial profits for advertisers. Nonetheless, this issue is complicated by the paucity of data typically observed in real-world advertising scenarios. The purchase rate among registered users is often as critically low as 0.1\%, resulting in a dataset where the majority of users make only several purchases. Consequently, there is insufficient supervisory signal for effectively training the LTV prediction model. An additional challenge emerges from the interdependencies among tasks with high correlation. It is a common practice to estimate a user's contribution to a game over a specified temporal interval. Varying the lengths of these intervals corresponds to distinct predictive tasks, which are highly correlated. For instance, predictions over a 7-day period are heavily reliant on forecasts made over a 3-day period, where exceptional cases can adversely affect the accuracy of both tasks. In order to comprehensively address the aforementioned challenges, we introduce an innovative framework denoted as Graph-Represented Pareto-Optimal LifeTime Value prediction (GRePO-LTV). Graph representation learning is initially employed to address the issue of data scarcity. Subsequently, Pareto-Optimization is utilized to manage the interdependence of prediction tasks. Our method is evaluated using a proprietary offline mini-game recommendation dataset in conjunction with an online A/B test. The implementation of our method results in a significant enhancement within the offline dataset. Moreover, the A/B test demonstrates encouraging outcomes, increasing average Gross Merchandise Value (GMV) by 8.4\%.","New York, NY, USA",,"Chen, Aochuan and Niu, Yifan and Gao, Ziqi and Sun, Yujie and Liu, Shoujun and Chen, Gong and Liu, Yang and Li, Jia",Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3737248,9798400714542,,,,"computational advertising, graph representation learning, lifetime value prediction, pareto optimization","Toronto ON, Canada",,,10,4320–4329,Association for Computing Machinery,KDD '25,Mini-Game Lifetime Value Prediction in WeChat,https://doi.org/10.1145/3711896.3737248,,2025
inproceedings,10.1145/3637528.3671621,"As the non-fungible token (NFT) market flourishes, price prediction emerges as a pivotal direction for investors gaining valuable insight to maximize returns. However, existing works suffer from a lack of practical definitions and standardized evaluations, limiting their practical application. Moreover, the influence of users' multi-behaviour transactions that are publicly accessible on NFT price is still not explored and exhibits challenges. In this paper, we address these gaps by presenting a practical and hierarchical problem definition. This approach unifies both collection-level and token-level task and evaluation methods, which cater to varied practical requirements of investors. To further understand the impact of user behaviours on the variation of NFT price, we propose a general wallet profiling framework and develop a COmmunity enhanced Multi-bEhavior Transaction graph model, named COMET. COMET profiles wallets with a comprehensive view and considers the impact of diverse relations and interactions within the NFT ecosystem on NFT price variations, thereby improving prediction performance. Extensive experiments conducted in our deployed system demonstrate the superiority of COMET, underscoring its potential in the insight toolkit for NFT investors.","New York, NY, USA",,"Wang, Tianfu and Deng, Liwei and Wang, Chao and Lian, Jianxun and Yan, Yue and Yuan, Nicholas Jing and Zhang, Qi and Xiong, Hui",Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3637528.3671621,9798400704901,,,,"fintech, graph learning, non-fungible token, web3","Barcelona, Spain",,,12,5893–5904,Association for Computing Machinery,KDD '24,COMET: NFT Price Prediction with Wallet Profiling,https://doi.org/10.1145/3637528.3671621,,2024
